"X_BNG","Y_BNG"
204672.6,637252
208831.6,628601
207761,626972.8
206770.3,625662.5
207117.5,623701.4
206977.4,621728.3
206080.8,635904.2
205751.3,620249.5
204246.1,618992.8
202300.4,618828.7
200487.3,618649.1
198559.3,618220
196581.6,618404.8
194655.8,618896.2
192865.7,619689.9
191275.1,620830.7
189784.8,622133.5
207160.4,634241.5
188529.4,623650
187913.3,625544.9
187219.3,627144.9
186120,628721.6
186362.2,630668.1
186626.8,632629.4
186994.8,634512.4
186100.8,636213.3
185219.6,637999
184364.3,639789.7
207725.3,632353.9
184155.8,641754.4
184714.5,643650.5
185333.3,645491.9
185984.4,647371.9
186911.3,649129.5
188504.7,650296.5
189792.2,651697.6
191385.5,652810.8
192879.6,654069.9
194834,654388.1
208459.4,630506.3
196748.8,653887.9
198436.9,652827.6
200103.4,651738.3
201342,650204.7
202738.2,648777
203610.5,646998
204031.3,645066.2
204552.6,643156.8
204858.7,641198.8
205031.4,639222.1
466163.6,1173056
469231.3,1169426.1
467776.7,1168073.1
465859.8,1167622.9
464450.5,1168732
464727.3,1170671.6
467978,1173850.6
469969.8,1173948.4
471222.8,1172742
470578.2,1170889.8
122690.2,807727.6
127857,802467.2
126011.2,803194.1
124022.2,803266.6
124690.2,807727.6
122154.9,802557
120162.6,802589.7
119012.4,804060.9
119421.2,805981.6
121039.5,807063.7
126689.1,807696
128630.5,807302.5
129667.6,805866.3
107269.7,743612
100872.1,739032.9
118450.6,750862.2
116686.7,750107
114755.5,749921.7
113068,749323
111609.1,748673.9
111528.5,746702.8
110202.1,745253.4
108670.3,744075.9
99862.5,737372.9
98034.5,736584.8
96087.2,736796.3
94442,737856.6
105820.6,742730.3
92654.5,738160.5
91308,739528.3
91328.1,741508.7
91634.6,743432.1
90635.7,745081.2
90922.6,746983.4
92342.3,748308.2
93919.7,749492.6
95667.9,750391.8
97646.9,750384.3
104406.8,741373.2
99516.6,749885.4
101355.6,750293.5
103162,751082.7
105126.2,751234.5
106545,751950.3
108268.6,752961.4
109482.5,754390.2
111030.4,755608.1
112690.8,756631.8
114032.6,757925.7
102450.5,741412.6
115215.9,759418.2
116452.4,760931.8
118056.6,762075.8
119719.4,763119.4
121102.9,764501.2
122839.7,765443.8
124577.3,766384.7
126180.5,767238.4
127958.7,768090.7
129721.8,767336.3
100794.3,741004.3
130148.5,765435.2
129590.4,763562.8
129028.4,761667.3
128178.3,759870.3
127141.5,758178.3
126174.5,756440.3
124916.7,754897.9
123354.1,753766.4
121904,752434.1
120290.5,751317.6
143922.7,702497.7
142420.5,693953.7
141682.5,692276.3
141222,690350
140024.5,688814.9
139129.8,687105.5
144991.3,700821.8
138188.8,685371
136465.3,684518.9
134537.2,684565.5
132566.6,684640.9
131310.5,686096.4
131487.1,687986.1
131627.7,689912.9
131688.7,691877.4
132824.9,693427.3
133381.8,695283.8
145013.4,698890.9
134157.2,697107.8
135485.4,698574.7
136913.8,699928.9
138660.4,700789.3
140222.8,701991.3
141814.4,703103.5
143869.7,697273
143264.2,695750.9
145623.4,790181.4
150805.2,787112.8
150764.2,785113.5
150287.4,783180.1
149245.9,781687.3
147290.3,781575.2
146686.4,791732.8
145455.3,782357
143813.5,783492.4
142602,785041.3
142696.5,786996.3
143924.3,788545.6
148646.2,791955.7
150275.4,790967.8
150805.2,789112.8
315936.8033,476040.417
316855.0746,476436.3688
317589.6916,476753.1303
319132.8621,477167.1333
322441.2468,681504.5764
160451.2736,745349.0153
158765.4292,746425.0862
153544.1759,754869.1789
162322.6087,744647.1391
164224.4923,744033.4394
166150.1763,743493.3086
172762.2391,739077.5964
155213.5653,751237.3161
154363.8057,753044.8415
156335.6683,749581.7543
157457.7713,747926.1925
167959.7197,742660.7591
169471.5452,741351.6531
171116.8922,740214.6248
250985.1891,549349.0023
188736.5524,678719.7924
152724.546,756693.5163
151342.6414,758109.9401
146083.9201,760789.4527
147991.1758,760261.1206
149743.225,759309.2745
238423,362302
331695.9051,473528.5244
331755.5005,474526.747
348313.6741,183264.8492
444709.9981,97584.99584
434158.9996,93415.9992
449631.3797,102783.9396
585951.75,181445.98
418979.8,1072518.5
422679.1,1070706.8
421622.9,1069020.5
419876.1,1068229.9
418729.1,1069726.5
419867.9,1074301.6
421407,1075520.1
422968.8,1074606.2
423177.5,1072636.4
391670.5,1138160
399037,1136022.8
399317.7,1137959.1
399701.4,1139763.9
398914.5,1141521.2
397792.3,1143077.6
393044.5,1136803.4
395895.8,1143626.3
394055,1142907
392521.2,1141639.8
391671.7,1139863.9
394364.4,1135428.7
395874.9,1134201.8
397778.6,1134517.6
435674.8,90821.3
444717.3,94304.2
432026.3,89468.5
433491,90770.9
445792.1,95718.6
447221.5,97015.3
449044.6,97626.1
450902.3,97538.7
437525.6,91401.7
452684.2,96799.8
454055.3,95428.7
455701.3,94480.9
457544.8,93965.9
459515.2,93967.1
461460.2,93567.2
463408.1,93119.3
464986.7,92050
465991.3,90393
467445,89039
439173,92503.9
467761.1,87114.3
466589.9,85554.7
465311.8,84087.5
463495.3,83418.4
461636.6,82891.7
460759.8,81242.7
460578.2,79298.2
460014.7,77397
458617,76010
456752.4,75328.4
441050,93010.1
454934,74566.9
453075.8,73864
451134.5,73517.3
449177.9,73338.4
447489.9,74341
446349,75932.9
444776.3,77119.5
443260.1,78345.9
441652.4,79496.9
439862.4,80338.6
442866.5,93573.9
438039,81143.4
436488.3,82383.3
435058.4,83526.8
433088.6,83263.4
431162,82788.9
429192,82695.9
427617.8,83874.3
427530.2,85790
428863.1,87206.6
430513,88273.6
136341.9,642545.4
128653.3,638330.2
143310.7,681613.6
145307.4,681728
147304.1,681842.4
148202.9,682770.7
148572.2,684712.4
149512,686448.9
150667.3,688063.2
151606.7,689779.2
152902.9,691284.2
154560.3,692382.2
126847.9,639093.8
155743.9,693862.1
157437.7,694895.4
159067.1,696039.2
160718.1,697099.2
162041.5,698567
163722.6,699563.6
165277.8,700640.5
166793.9,701774.4
168787,701923
170706.4,701569
125246.1,640182.5
171815.3,699959.1
172282.8,698017.2
172253,696039.7
171262.5,694354
170192.1,692677.5
169044,691045.7
168235.9,689275.6
167540,687453.8
166446.3,685795.1
165071.8,684385.9
124883,642072.9
164293.8,682573.9
163311.1,680852
162287.4,679202.7
161658.4,677329.2
160730.9,675582
159881.2,673828.9
159636,671909.8
158379,670365.9
157048.2,668907.9
155406.1,668283.3
125290.5,644004.3
155314.5,666364.8
154652.2,664543.9
153894.6,662713
152909.2,660985.8
151788.7,659329.2
150668.1,657672.5
149547.6,656015.9
148833,654204.7
149144.9,652391.6
149375.4,650424.3
135201.1,641153.9
125693.9,645916.5
148418.6,648710.5
146892.3,647474.3
145689.5,645974.5
144515.5,644444
142585.2,644216.8
140818.4,643378.5
139006.3,642649.7
137084.6,642564.1
126698.1,647632.7
127882.3,649213.9
129670.5,649959
129493.8,651664.4
128454.1,653247.6
126555.3,653727.4
125305.7,654830.3
124111.1,653245.8
122599.6,651943.6
133986.3,639604
120922.4,650880.1
119386.8,649635.1
117504.4,649129.4
115695.5,649948.1
114558.4,651545.1
113769.9,653361.5
114361.7,655187.9
115082.9,656788.2
115761.6,658651.2
116865.1,660284.1
132466.2,638471.5
117887.8,661924.8
117128.5,663444.1
117023.2,665384.6
118080.1,667042.3
118498.4,668682.8
119075.6,670555.7
119654.6,672449.5
121342.8,673427.2
123204.2,674055.4
124840.7,674545.2
130605.4,637978.8
126506.8,675602.8
128018.6,676892.7
129946.1,677161.1
131485.1,675980.8
133059.9,676811.1
134611,678015.8
135990,679418.8
137580.7,680564.8
139407.4,681029.8
141338.2,681443.3
165022,862998.8
163085.1,853208.8
162692.9,851247.7
162281.4,849290.6
161847.6,847338.2
160739.1,845673.7
164792.7,861011.9
160162.8,843773.8
160318.8,841789.4
161071.7,839936.7
161418.7,838038
160694.7,836213.1
161182.5,834472.5
162622.4,833085.7
163905.3,831563.2
165049.8,829923.6
166401,828575.2
164371.4,859063
168359.7,828188.2
163829.9,857137.7
163445.7,855176
140903.4,781664.8
139976.9,778077.3
138391.3,779232.6
137692.3,781069.2
138640.7,782566.5
142750,781147.2
144084.3,779886.2
143577.2,778031.7
141782.8,777347.2
86622.2,601046.2
95806.1,598304.5
150781.1,571378.3
151815.7,569676
152631.1,567859.2
153178.2,565935.3
154326.2,564757.1
155788.2,563516.1
156280.5,561645.1
157488.7,560078.1
159332.6,559809.7
161097.7,558890.5
97583.3,598699.9
162731.5,557757.9
163622.2,555971
164420.5,554140
164966.3,552215.9
164998.2,550245.1
164901.6,548298
164901.6,546344.7
164893.5,544344.7
165029.8,542363.4
165547,540431.4
98797.1,600185.5
166891.1,539553.5
168839.8,539304.4
170674.4,538636.1
172583.24,537681.37
173350.1,535749.6
174465.5,534128.3
174515.3,532158.8
174425.7,530181.4
175364.5,528468.4
176442.6,526859.4
100649.3,600901.8
177272.8,525043.1
177335.4,523109.5
177294.4,521190.4
177647.5,519290.7
178431.7,517721.6
179775.4,516311.5
179744,514392.7
179601.2,512444.7
178932.1,510612.5
177871.4,509007.1
101978.8,602069
177881.9,507310.8
177648.6,505363.1
177493.1,503397.6
176212.1,501952
175712.1,500092.7
174932.6,498372.9
173799.7,496819.9
172766.7,495300.9
171292,493977
170149.1,492549.2
88137.3,599738.3
103788.1,602708
168851.8,491027.8
167538,489520.3
166275.3,488025.9
164462.9,487355.9
163172.1,485860.4
161366.5,485214.9
159713.3,486242.5
158838.2,488014.1
156896.9,488060.2
155043.8,487467.6
105616.7,602070.5
153131.6,487608.2
151281.7,487481.5
149641.2,486337
149104.2,484922.4
149553.8,482973.6
149394,481001.2
149015.7,479037
148191.8,477223.3
147918.2,475304.4
147165.9,473485.7
107572.8,601890.2
145753.3,472070.9
144089.4,470966.4
142731.7,469569.1
141280.5,468286
139388.9,467733.7
138043.2,466261.5
136315.9,465252.6
134537.4,464359.5
109404.7,602695.4
110731.8,604004
112387.6,605085.4
114130.4,606005.1
116088.9,606296.4
117759.8,605343.3
119399.1,604463.1
89846.4,598796
121187.7,604750.5
123109.8,605094.8
124936.2,604361.7
126645.7,603404.3
128518.4,602900.1
129796.4,601430.2
131419.7,600311.2
133369.6,600728.4
134940.3,601965.4
136890,602301.2
91806.3,598456.6
138522.1,601254.8
139947.7,599931.2
141609.6,598832.8
