"X_BNG","Y_BNG"
143349.6,597977.1
143882,596120
145061.6,594582.5
145745.8,592724.3
145784.6,590740.4
145268,588851.7
144946.7,586955.6
93806.2,598380.5
144574,585023.2
143591,583306.3
145039.6,582963.6
146957.1,582575
148462.7,581318.7
149178.3,579516
148703.7,577574
148203.3,575637.3
147711.6,573806.7
149242.2,572655.6
334073.3,983077.8
325009.4,986388.5
341942.5,1051807.8
342937.8,1053215.9
344403,1054522.2
346095.4,1055556.9
347709.9,1056737.3
349401.4,1057780.3
351318.3,1057493.5
352443.6,1055888.7
352766.1,1053956
351869.9,1052216
323418.8,987525.5
352130.4,1050272.2
351672.6,1048353.5
351056.2,1046546.7
351942.3,1044796.5
353789.1,1044033.4
355649.3,1043298.8
357549.2,1042751.8
359402.7,1042037.9
361208.6,1041580.8
362829.6,1042504.2
322436.4,989230
363061.4,1044196.9
363153.1,1046174.4
364543.3,1047513.9
366407.6,1047637.1
367944.8,1048818.1
369871.6,1048813.4
371679.2,1048174.2
372689.2893,1046938.149
373272.1,1048843
373486.5,1050683.9
321654.3,991030.1
372511.5,1052342.5
372997.4,1054249.9
373580.7,1056115
374892.4,1057556.7
376823,1057987
378764.6,1058212.4
380340.4,1057087
381059.8,1055254
380175.6,1053533.2
379496.7,1052139.1
320706.1,992707.4
378496,1050501.4
378314.2,1048620
378245.2,1046625.9
379565.9,1045740.9
380694.8,1044170.2
380289.6,1042264.4
378576.9,1041361.9
376608,1041323.4
374709,1041674.3
373564.5,1040680.5
332263.9,983929.9
319445.1,994238.5
372967.8,1039013.7
373131.1,1037049.8
371829.3,1035620
369901.3,1035765.8
368464.4,1035581.7
366538.3,1035425.8
364909.2,1036112.2
363834.2,1034476.5
364752.8,1032870.7
366387.8,1032130
318764.2,996109
368199.5,1031437.3
368995.3,1029637.2
369882.3,1028133.8
371071.8,1026609
370770.4,1024751.8
371792.8,1023120.4
371265.3,1021275
370461,1019534.3
368579.5,1019070.2
366748.8,1018876.8
317490.9,997130
364842,1018673.4
363119.2,1019108.3
361141.1,1018981
359334.7,1019740
358500.3,1021498.4
358948.3,1023415.3
359723.2,1025215.7
358527.5,1026409.9
356709.2,1026725.1
356381.7,1024752.1
315789.4,998015.6
356099.4,1022784.5
356124.8,1020812.1
355513.3,1018947.4
355553.1,1017212.4
355597.4,1015243.5
355934.4,1012591.2
356435.6,1010663.2
358109.2,1011377.7
360042.2,1011438.9
315381.6,999932
361247,1009947.1
361528.6,1008041.2
361238.9,1006100.9
361178,1004212.4
360417.2,1002413.7
358607.5,1001743
356814.3,1001157.5
355469.5,1000081.7
354612.7,998357.7
353192.4,997010
316195.5,1001691.5
352325.6,995481.7
351000.7,994031.2
351284.3,992118.8
350052.9,990634.7
348942.4,989263.9
348582.2,987316.2
349502,985626.7
349058.9,983706.8
348342,981897.6
346540.7,981125.3
316730,1003598.1
344592.4,980824.8
342861.7,981701.3
340920.7,981788.3
338946.8,981636.5
337005.7,981682.6
335202.3,982546.2
317581.5,1005384.9
319112.9,1006652.4
320929.4,1007433.3
330454.5,984782
320327.7,1008894.8
320044.3,1010850.1
319637.4,1012726.9
319870.6,1014674.9
320175.6,1016634.3
320394.2,1018562.2
320915.2,1020432.2
320812,1022400.2
320526.7,1024318.4
320856.3,1026213.4
328645.1,985634
322106.7,1027743.8
322715.8,1029509.1
324381.5,1030526.4
326312.1,1030994.7
328117.9,1031812.2
330019.9,1032341.6
332005.5,1032310.3
333691,1033223.8
335186.6,1034464.1
336401,1036017.3
326921.7,986615.5
337362.6,1037717.4
338020.7,1039606
338678.8,1041494.6
339337,1043383.2
340021.8,1045256.8
339020.7,1046767.2
337783.7,1048313.9
337297.4,1050232.2
338223.1,1051931.6
340140.3,1052161.1
145123.9,928597.9
144233.8,919110.4
94828.2,861365.5
94198.7,859490.5
93897.7,857627.5
93181.1,855787.9
92247.4,854081.2
91036.5,852555.4
90759.2,850577.6
90560.4,848587.6
90596.9,846605.2
90060.4,844701.4
144368.7,917166.8
88647.1,843334
88502.5,841799.2
88882.2,839910.7
87935.2,838231.5
88774.6,836680.5
89257.4,834765.1
88622.7,832897
87510,831311.2
85986.7,830440.3
144265.9,915189.5
85384.6,828555.4
84526.1,826806.9
84720.9,825111.5
85580,823386.3
84943.4,821578.4
84979.1,819600.3
84645,817932.7
86014.9,816539.8
86671.2,814723.3
85885.5,812937.6
144739.2,913302.8
84767.9,811315
82920.9,810623.3
82144.7,808917.5
81187.3,807199.8
80189.9,805496.3
79276.3,803717.2
78184.8,802047.8
76863.8,800547.9
75071.9,799822.8
73552,798648.8
144091.5,911449.7
72072.4,797879.3
71124.4,796149.6
71270,794499
70849.6,792584.1
69387.9,791251.8
67774.7,790069.6
66400.8,788666
64806.9,787639.9
63639.5,786016
62104.8,784834.2
145137.2,926887.5
142925.6,909894.2
60167.1,784698.5
59402.1,782982.1
59277.3,781089.6
59492.2,779183
58024.2,777949.4
56124.5,777381.1
54373.7,778219.6
53001.6,779613
52672.9,781581.3
53114.8,783473.6
141991.4,908201.1
53512.5,785391.6
55144.5,786437.4
55910.7,788176.1
57513.2,789237.6
58478.4,790976.9
58947.9,792845.8
59737.6,794468.6
58661.7,796064.3
59365.1,797859.8
60174.9,799639.3
140101,907649.8
61099.9,801386.6
62627.6,802592.3
62721.3,804318.5
63130.6,806191.8
64892.8,807045.4
66872.2,807047
67340.6,808637.2
67606.6,810583.8
68638.7,812256.2
70270.8,813371.7
138824.6,906666.5
71784.4,814679
71500.8,816468.3
71233.4,818388.9
71076.7,820315.3
70766.3,822216.5
70525.4,824192
70650.9,826164.5
70086.4,827920.3
69105.6,829607.7
69750.2,831413.4
138328.4,904795.8
71180.2,832563.1
71353,834474.6
72143.7,836275.5
73118.2,837836.9
73482.9,839795
73315.3,841786
72731.5,843681.4
71789.6,845395
72326.5,847283.6
73975.9,848309.5
137560.5,903122.3
74480,850153.2
73908.4,851932.7
73674.8,853879.5
73916.2,855809.5
75300.8,857179
76578.5,858112.2
76304.5,860063
75324.9,861800.8
73991.6,863266.7
72352.8,864192.5
136476.3,901499.7
70717,865273.1
69700.8,866854
68134.2,867959.9
66999.6,869530.5
66924.6,871477.8
68244.6,872925.9
69381.9,874483.8
70551.5,875998.1
71005,877886.2
72743,878793.8
134563.9,901196.8
74701.3,878734.9
76663.9,878778.1
78573.5,879236
80191.1,879869.2
81722.3,881073.7
82450.1,882836.6
83391,884589.1
84217.8,886410.2
85044.6,888231.3
85451.1,890178.5
132891.5,900153.7
85626,892156.6
86985.1,893518.7
88837.6,894272.5
90690.1,895026.4
92542.6,895780.2
94395.1,896534.1
95830.9,897829
96966.4,899432.4
96945.7,901401.5
98327.3,902741.2
131247.9,899163.5
99926.2,903538
101372.1,904877.6
100411.1,906452
98669.2,907382.6
97795.3,909148.7
96256.6,910321.8
95613.4,911963.9
94065.7,913158.9
93331,915004.3
93296.5,916964.7
145066.6,924924.6
129398.8,898549
94673.9,918324.1
95148.9,920266.8
95582.2,922211.8
95805.6,924185.6
95898.8,926183.5
96312.2,928121.7
97292.4,929815.3
98422.6,931346.2
98290.6,933295.5
99365.1,934920.1
127561.1,899192.7
101063.3,935882.5
101627.4,937775.8
102526.5,939543.7
103971.4,940902
105851.3,941368
107346.7,940167.7
108400.4,941234.1
109261.1,943039.5
110229.3,944776.8
112038.5,945469.1
125701.6,899600.4
114036.8,945436.6
116036.8,945433.2
117463.4,946358.3
119217.7,947244.7
121125.3,947728.3
122684,948952.1
124259.4,950094.9
125810,951156.4
127672.9,951823.7
129534.3,951310.3
125706.6,897985.7
131102.9,952304.1
132938.5,952826.3
133954.5,954536.4
135389,955888.9
137014.5,956912.4
138690.2,957980.2
139970.5,959465.5
141687.9,960469.4
143448.3,961350.3
145110.6,962378
126595.2,896241.7
146272.2,963976.6
148153.8,964482.3
148745.5,965991.7
149789.9,967612.7
151609.1,968355.1
153470.1,967865
154825.8,966477.6
156146.7,965057.5
156843.1,963242.6
158072.7,961692.2
126764,894300.9
158188.3,959769.5
158134,958088.9
158776.7,956239
158487,954274.7
157234.1,952818
156329.9,951050.8
156244.9,949266.9
157931.4,948323.3
158415.1,946442.1
157164.2,944989.2
125391,892918.3
155444.1,944259.9
154093.2,942806.1
153747.4,941048.9
154869.7,939768.1
156747.5,939851.9
158626.2,939242.1
159498.2,937534.6
159022.5,935616.8
158138.4,933882.1
157736.1,932006.5
123543.5,892207.3
156449.5,930491.3
154763.5,929475.9
153435.9,928083.9
151637.7,927246.8
149656.5,927190.9
148147,928396.5
146533,928839.1
121785.5,891541
120231.1,890282.5
144508.1,923016
118454.3,889466
117188.2,888376.8
115397.5,887687.3
113464.7,887726.4
112392.1,886133.6
111122.1,884687.3
109477.6,883672.6
107894.4,882833
106773.9,881276.9
105281.8,879994.5
144189.3,921078.1
103975.3,878484.8
102933.1,876851.2
101940,875115.8
101158.3,873310.2
100003,871755.4
98800.5,870185.6
97739.2,868516.9
97215.6,866624.3
96411.6,864804.4
95424.8,863076.9
416756.6,1163075.3
418703.7,1162844.3
419557.2,1161085
414383.6,1158927.1
413049.5,1160364
413125.8,1162207.7
414772.9,1163234.6
144381.8,799560
140969.4,791000.3
139563.1,789606.1
137703.3,788963.2
135767.1,789378.4
134430.3,790827.6
144655.8,797630.1
132727.6,791786
132320.2,793671.8
131010.8,795080.9
129707.5,796548.1
128304.1,797956
127551.3,799765.5
128473.6,801452
130020.4,802633
131433.9,803942.8
132907.3,805252.9
143904.2,795825.1
134615.8,806252.8
136485.3,806768.3
138429.8,806832.9
140087.7,805752.6
141541.8,804437.4
143121.6,803238.8
144092.6,801517.5
143595.6,793870
142516.4,792209.8
436291.5,1106943
432709.1,1115224.5
419955.9,1174599.2
418533.7,1175883.1
418322.6,1177840.9
418829,1179769.8
419829.9,1181487.9
421529.4,1182510.7
422159.3,1184375.2
423176.5,1186055.9
424769.3,1187217.9
426713.2,1187508.8
433664.2,1116864.6
428320.3,1188509.4
428989,1190382.7
428830.3,1192367
429368.4,1194232.3
430919,1195446.3
432880.2,1195207.6
434735.6,1195141.7
435894.7,1196554.9
435934.9,1198518.1
437591.6,1199335.7
433788.3,1118860.7
439317.9,1198503.9
440860.2,1197096.3
442740,1197078.2
444412.1,1198045.1
445416.2,1199760.1
445781.1,1201724.8
445822.4,1203721.9
446064.6,1205697.7
446738,1207559.6
448502.8,1208279.5
433605,1120833.7
450493.4,1208147.2
452393,1207555.9
454317.4,1207114.4
455614.4,1208466.3
455460.8,1210447.3
455024.1,1212375.3
455634.8,1214246.2
456526.8,1216034.8
457645.1,1217659
458498.6,1219464.6
434236.6,1122679
460099.1,1220606.5
461935.9,1220323.1
463781.8,1219802.1
465670.9,1219284.3
467367.7,1218226.5
468845,1216905.2
469113,1214970
468743.6,1213016.1
468535.4,1211029.7
468274,1209049.1
435182.1,1108607.1
434650.2,1124593.8
467786.7,1207115.2
466842,1205359.2
466051.9,1203531.9
465977.8,1201534.1
465697.3,1199557.3
465435.9,1197586.6
465547,1195688.2
466979.6,1194316.4
468437.7,1192951.3
468914.7,1191107.5
433416.8,1126115.5
468623.2,1189141.7
467848.7,1187312.6
466222.6,1186277.4
464277.2,1185827.8
462413.1,1185104.7
460573,1184330.1
458784.1,1183435.7
457214.1,1182237.6
456053.5,1180629.4
455362.1,1178756.5
433255.8,1128049.2
454726.1,1176866.3
454849.1,1174882.5
454416.9,1172951.5
453484.4,1171189.8
452701.4,1169361.9
452728.8,1167369.4
452723,1165374.2
452466.4,1160077.3
433374.5,1130041
452547,1158097.4
451730.1,1156288.4
451926.1,1154306.4
451504.6,1152387.3
450956.3,1150469
450685.5,1148497.4
451841.2,1147467.2
453521.7,1146461.4
454190.9,1144625.1
455536.6,1143215.4
433639.1,1132018.8
457150.1,1142098.1
457427,1140148.8
456844.4,1138261.3
455312.2,1137100
453937.5,1136401.2
453146.5,1134597.9
451326.6,1134003.3
449497.9,1134615.6
447854,1135668.8
446425.7,1134714.3
433830.9,1134004.3
446270.3,1132722.3
446739.8,1130814.7
446616.8,1128829.8
446973.6,1126966
448421.5,1125590.9
449190.4,1123856.5
448489.8,1122002.2
446759.2,1121058.8
445668.5,1119441.7
443788.6,1119000.1
432976.1,1135755
443531.2,1117035.5
442836.9,1115195.2
442876.7,1113197.9
442996,1111201.6
443084.7,1109206.5
442545.8,1107321.4
441170.2,1105944.2
439270.9,1105509.8
437348.6,1105712.4
432719.7,1137706.3
433126.2,1139653.4
432093.1,1139826.5
433897.9,1110085.5
430775.7,1138427.2
428861.8,1138609.5
427305.3,1139865.4
425754.4,1141127.2
424305.3,1142505.6
422856.2,1143884
421219.9,1145027.2
419550.7,1146128.8
417871.8,1147215.6
416204.4,1148312
432659.8,1111515.1
415194.6,1149999.8
415058.2,1151991.9
414803.3,1153975.1
414701.5,1155970.3
415812,1157557.2
421292.4,1159817.1
423251.8,1160086.2
424982,1161064.4
432193.5,1113458.4
426614.3,1162210.2
427258,1163780
427059.2,1165729.4
427904.5,1167506.6
428576.6,1169335.4
428094.9,1171266.3
427103.1,1172994.1
425366.5,1173918.8
423879.5,1174945.4
421900.7,1174783.3
155456.1,847902.1
159803.9,856892.1
147386.9,810469
145391.3,810347.3
143443.9,810421.2
141855.9,811609.7
140746.1,813166.9
138902.3,813941.7
137210.7,814915.9
136882.8,816834.7
135523.9,818105.2
134530.1,819792.3
160484.6,858772.7
133611.2,821547.8
132654.5,823176.2
131364.2,824680.5
130464.2,826379.5
129712,828204.3
128634.7,829770.3
128124,831644.3
128194.1,833635
126423.4,834144.3
124431.3,834178.3
161177.4,860648.9
122693.9,835069.8
121086.9,836251.3
119347,837165.7
117541.5,837890.7
115988.6,839080.6
114551.3,840415.9
113684.4,842208.6
113697.6,844147.9
112558.1,845076.2
110954.8,846149
161852.1,862531.6
110702.9,848096.7
111336.9,849973.4
111720.1,851865.8
113364.2,852903.9
113708.8,854711.6
114435.4,856561.9
115679.7,858100.6
117172.7,859405.9
118578.7,860828.3
119984.6,862250.8
120860.6,863966.6
121080.6,865904.9
121464.9,867841.6
123015.8,868998.3
124943.3,868920.4
126862.6,869482.8
128781.9,870045.3
130701.2,870607.7
132620.4,871170.1
134539.7,871732.6
156455.5,849634.5
135665.5,873282.6
137488.9,873952.9
138861.7,874736.4
138620,876680.9
139458,878420.7
141323.9,878889.7
143162.7,878720.2
145106.2,878415.8
146179,876798.9
147190.5,875253.3
148432.3,873720.8
148987.8,871825.6
149971.2,870360.2
151568.9,869167.1
152558.4,867440.2
153084.6,865563.2
154319.1,864055.6
154705.9,862169.8
154278.7,860286.4
154458.5,858306.3
154219.9,856337.9
154039.4,854354.9
153894.1,852407.1
154063.1,850429.2
153874.1,848445.8
153440.7,846509.5
168493.6,825542.1
170387.7,826184.4
172302.2,826757.8
174280.2,826934.8
176199.6,826398.2
178030.8,825606.2
157370.1,851412.6
179860.3,824996.2
179700.5,823166.7
178944.8,821399.6
178850.5,819438.6
177668.1,817858
176338.7,816366
175080.9,814811
173817.7,813260.4
172549.9,811713.6
171282,810166.8
158244.3,853211.3
169969.4,808658.3
168639.8,807164.3
167461.5,805570.4
166177,804094.6
165588.3,802237.9
164057.4,800994.8
162655,799623.3
161097.9,798511.7
159245.7,797979.4
157474,797290.5
159074.2,855030
155513.1,797204.3
154174.7,798594.8
153596.9,800475.4
153182.6,802410.3
153397.5,804375.3
154457.5,806063.6
154314.5,807964.6
152969.9,809410.1
151195.3,810153
149383.7,810582.1
149536.4,29180.1
145109.2,21356.1
177748,63641.8
219421.4,378700.1
219036.8,380628.2
218452.5,382494.1
219334,384252.3
220445.4,385840.5
222366.2,386072.6
224304.1,385891.2
226149.5,385384.8
227112.5,387084.7
227820.6,388913.2
179184,64906.3
227240.4,390789.3
226889.3,392734
227824.7,394436.9
229662.5,395166.2
231496,395485.7
233364.6,396107.6
235204.2,396646.4
237095.9,396828.5
238993.9,397399.1
240922.9,396982.6
181104.6,64729.4
242870.4,396714.6
244684.1,396098.2
246619,395657.8
248558,395624.8
250007.3,394353.5
250875.8,392577.1
251328.3,390647
251588.4,389005.3
253309.9,388113.1
253677.1,386207.7
182258.7,65914.7
254123.3,384293
255150.4,382655.3
256466.8,383223.6
258179.3,384222.7
260145.7,384300.9
262025.4,383635.5
263984.8,383589.9
265725.7,382707.5
266196,380833.1
265210,379125.6
182437.4,67872.5
263797.1,377772.5
262258.5,376438.7
262912.6,374463.9
264585.8,375576
266190.9,376638
267938.2,377522.5
269806.4,378212.4
271603.3,379062.7
273321.5,380063.3
182485,69689.8
273831.6,381826.7
272949.1,383546.4
273480.7,385404
275190.3,386387.7
277164.5,386251.6
279024.9,385612.2
280281.1,384316.7
282162.2,384744.8
283703.6,383564.9
285417.9,382718.5
182232.6,71593.1
286342.4,380994.7
288243.8,380840.5
290184.8,380616.8
292148.6,380491.6
294019,380699.9
295860.7,381461.4
297651.6,382336.9
299369.1,383307.1
301138.9,384179.8
303075.9,384615.7
183403.9,73168.2
304904,385395.8
306782.6,386071.9
308720,386509.1
310651.5,386949.5
312612.8,387179.7
314430.9,388013.1
316249,388846.5
318067,389679.9
319761.2,390699.8
321268.3,391959.7
183280.1,74966.9
323054.8,392838.1
324920.3,393539.5
326623,394557.2
328084.2,395880.2
328961.9,397107.3
328295.8,398931.8
327800.3,400867
327184,402683.9
325868.3,404185.8
324959.2,405930.6
182956.5,76868.1
325016.2,407912.5
325598.5,409823.3
326476.2,411609.7
327609.9,413256.5
328602.3,414989.5
329642.4,416696.8
