"Date","Flow","id"
2012-12-31,73.838,"4005"
2014-03-20,87.189,"4005"
2015-03-07,147.53,"4005"
2016-01-29,108.367,"4005"
2016-12-31,74.93,"4005"
2018-01-29,81.161,"4005"
2018-10-09,96.767,"4005"
2020-01-11,115.896,"4005"
2021-01-11,86.83,"4005"
2022-02-20,57.617,"4005"
2023-07-15,74.821,"4005"
1990-03-03,100.989,"4006"
1991-01-20,80.043,"4006"
1992-01-02,118.043,"4006"
1993-01-16,111.736,"4006"
1993-12-19,93.128,"4006"
1995-02-06,84.153,"4006"
1995-11-23,80.312,"4006"
1997-03-02,85.458,"4006"
1998-02-12,78.099,"4006"
1999-01-19,55.533,"4006"
1999-12-06,109.25,"4006"
2000-10-29,73.328,"4006"
2001-10-30,84.553,"4006"
2003-01-25,51.612,"4006"
2004-01-19,97.337,"4006"
2005-01-07,109.132,"4006"
2005-11-14,81.874,"4006"
2007-01-15,106.683,"4006"
2008-02-21,87.184,"4006"
2008-12-18,71.238,"4006"
2011-04-06,85.559,"4006"
2011-12-26,101.662,"4006"
2012-12-31,51.538,"4006"
2014-02-23,74.619,"4006"
2015-03-08,116.079,"4006"
2016-02-01,104.039,"4006"
2016-12-31,65.618,"4006"
2017-12-07,70.878,"4006"
2019-08-31,82.564,"4006"
2020-02-21,84.754,"4006"
2020-12-26,75.457,"4006"
2021-10-26,51.244,"4006"
2023-02-02,72.233,"4006"
2008-01-31,38.813,"6012"
2008-11-10,48.694,"6012"
2009-11-25,27.847,"6012"
2011-07-16,29.51,"6012"
2011-12-08,33.582,"6012"
2012-12-31,38.96,"6012"
2013-12-20,41.429,"6012"
2015-03-07,45.743,"6012"
2016-01-29,42.048,"6012"
2016-12-23,27.345,"6012"
2018-01-23,24.876,"6012"
2019-08-31,29.439,"6012"
2020-02-15,36.771,"6012"
2020-12-05,32.412,"6012"
2021-11-01,20.502,"6012"
2022-11-11,21.366,"6012"
1961-08-09,308.492,"7001"
1962-02-12,426.206,"7001"
1962-12-14,323.654,"7001"
1964-08-27,182.269,"7001"
1965-05-08,230.727,"7001"
1966-06-24,423.68,"7001"
1966-12-17,510.343,"7001"
1968-03-27,259.417,"7001"
1968-10-31,270.255,"7001"
1970-08-17,657.892,"7001"
1971-01-07,272.93,"7001"
1972-05-27,256.166,"7001"
1973-09-29,301.506,"7001"
1974-01-18,292.253,"7001"
1975-09-17,312.319,"7001"
1976-01-07,244.267,"7001"
1976-11-28,281.409,"7001"
1977-10-30,242.864,"7001"
1978-11-15,302.351,"7001"
1980-07-27,262.677,"7001"
1981-09-20,484.81,"7001"
1981-10-03,337.255,"7001"
1983-09-11,253.937,"7001"
1983-12-31,325.804,"7001"
1984-10-25,248.889,"7001"
1985-12-03,248.084,"7001"
1986-12-07,234.293,"7001"
1988-08-18,184.325,"7001"
1989-01-15,282.24,"7001"
1990-06-07,392.988,"7001"
1990-10-28,289.533,"7001"
1991-10-17,276.025,"7001"
1993-05-17,316.799,"7001"
1994-03-08,214.266,"7001"
1995-09-08,202.502,"7001"
1995-10-24,183.016,"7001"
1997-02-17,272.518,"7001"
1998-04-23,146.442,"7001"
1998-10-17,198.109,"7001"
1999-11-30,315.09,"7001"
2000-11-08,307.856,"7001"
2002-01-28,287.862,"7001"
2003-01-17,159.855,"7001"
2004-01-19,270.872,"7001"
