"","AREA","ALTBAR","ASPBAR","ASPVAR","BFIHOST19","DPLBAR","DPSBAR","FARL","FPEXT","LDP","PROPWET","RMED-1H","RMED-1D","RMED-2D","SAAR","SAAR4170","SPRHOST","URBEXT2000","QMED","QMEDcd","X","Y","QMEDfse","N","URBEXT1990","BFIHOST"
"12005",109.385,592,12,0.15,0.464,14.57,188.6,0.896,0.0293,28.24,0.68,9,43.8,59.6,1244,1354,43,1e-04,72.1125,35.3445557660946,330719,785800,1.10714871210178,46,1e-04,0.512
"12006",145.91,557,132,0.16,0.388,16.56,180,0.997,0.0294,33.94,0.64,8.4,35.9,50.1,1048,1036,42.66,0,59.8715,60.1015140919637,325512,801212,1.09277654321221,28,0,0.452
"12007",291.995,682,116,0.09,0.357,15.26,235.2,0.989,0.0331,28.82,0.69,9.1,42,60.5,1334,1492,50.1,0,183.215,166.171213614123,301329,789774,1.04100971383231,32,1e-04,0.4
"12008",232.8425,330,39,0.15,0.366,16.9,146.5,0.998,0.0381,30.41,0.54,8.8,44,59.7,1130,1185,44.79,2e-04,136.337,107.556733445501,360827,787475,1.08592948255001,38,0,0.427
"13001",124.47,149,146,0.14,0.473,17.93,85.3,0.998,0.0594,33.35,0.45,8.7,40.7,51.7,890,929,40.16,0.0017,35.577,30.616816843374,376480,778903,1.08508813739753,27,0.0022,0.554
"14001",308.7375,109,76,0.11,0.591,20.1,72.7,0.992,0.1039,40.71,0.4,8.4,34.5,45.4,800,830,29.71,0.0109,40.417,34.8290034749746,330238,711373,1.09332883232791,39,0.0039,0.609
"14002",127.62,147,155,0.33,0.529,13.95,62.3,0.98,0.0804,26.25,0.4,8.2,36,46.2,797,833,41.08,0.0662,22.9205,19.3311580961015,338376,736505,1.2681167468829,16,0.0261,0.573
"15003",3211.225,460,124,0.06,0.411,67.4,185.9,0.807,0.0406,117.55,0.69,9.9,43.4,61.1,1609,1611,45.36,7e-04,865.004,709.90423082893,268184,753767,1.03757390975378,72,7e-04,0.437
"15006",4586.7875,411,136,0.07,0.442,70.01,166.7,0.847,0.0534,130.36,0.58,9.4,41.6,57.6,1424,1442,42.87,0.0015,1042.115,900.106492888891,283585,754073,1.04518284230168,71,0.0014,0.473
"15007",1149.075,467,83,0.06,0.409,47.49,230,0.836,0.0373,89.04,0.7,10.4,49.4,69.9,1950,1900,44.6,7e-04,360.023,411.927908877955,259167,739906,1.05009929861152,72,5e-04,0.442
"15008",176.61,140,15,0.12,0.587,14.31,59.2,0.973,0.1266,26.19,0.38,8.2,37.1,48.3,840,875,37.21,0.0146,26.832,22.9776632058044,341013,746580,1.02896207504205,53,0.0108,0.622
"15011",388.3325,552,97,0.08,0.372,31.03,272.1,0.907,0.0283,59.97,0.7,10.7,49.9,71.6,2005,1947,47.57,1e-04,219.003,243.178285785013,256969,745549,1.03867808979318,51,3e-04,0.439
"15013",173.28,408,126,0.17,0.422,28.84,196.9,0.996,0.0308,51.25,0.61,9.8,44.8,61,1394,1460,42.65,0.0014,120.636,99.2632813190123,288255,731394,1.06923940818105,37,4e-04,0.466
"15016",598.2825,446,78,0.07,0.42,35.36,226.5,0.76,0.0344,68.92,0.71,10.7,52.9,75.1,2130,2068,44.79,6e-04,196.18,179.504391674226,253567,733600,1.06174669249189,49,2e-04,0.423
"15023",210.715,408,71,0.07,0.429,18.02,147,0.929,0.0335,35.28,0.65,9.3,39.7,53.3,1326,1489,39.88,1e-04,126.65,84.5258368419848,290065,739933,1.08256921750325,32,1e-04,0.437
"15025",437.405,452,168,0.12,0.438,29.24,173,0.989,0.0385,46.6,0.55,8.6,38.2,51.7,1130,1242,39.09,0,194,149.174823743278,308883,764204,1.08546640939733,33,3e-04,0.489
"16001",584.665,315,140,0.11,0.476,31.18,177.2,0.894,0.056,55.58,0.63,9.8,45.9,63.4,1505,1531,41.12,0.0025,203.9845,183.148085849752,275774,722834,1.01815613779585,58,0.0017,0.487
"16003",101.07,395,56,0.14,0.412,12.57,215.2,1,0.0346,22.6,0.59,10.8,52.3,73.1,1888,1924,44.13,0,158.758,92.7705735077425,270008,716493,1.04591375471074,53,1e-04,0.433
"16004",783.8975,274,87,0.07,0.494,39.58,155.5,0.917,0.0611,71.5,0.59,9.5,43.8,60.3,1404,1417,39.91,0.0034,249.2,222.30383927472,280553,720580,1.05902923916693,35,0.0019,0.51
"17001",121.14,244,78,0.24,0.395,14.47,98.8,0.843,0.0404,27.98,0.59,10.2,43.9,62.1,1519,1472,44.19,0.0133,77.786,49.2588370124857,273380,684327,1.09483734010907,35,0.0097,0.378
"17003",51.4875,111,354,0.15,0.413,7.77,58.5,0.995,0.0867,16.22,0.58,8.8,37.8,51.1,1160,1148,40.58,0.0941,21.153,27.4841286710795,279483,677422,1.06625194526942,31,0.0614,0.435
"17004",159.1925,125,96,0.17,0.385,19.9,54.2,0.905,0.0859,39.89,0.45,8.7,33.9,44.7,874,883,41.73,0.0484,21.499,32.7169883868984,319097,695298,1.13257638685006,27,0.0211,0.359
"17005",194.81,161,28,0.11,0.42,22.22,56.5,0.964,0.0793,41.79,0.56,8.8,35.5,46.8,990,990,40.3,0.0362,78.9875,56.9231297952837,291517,672069,1.03950813486862,24,0.0189,0.411
"18001",160.2875,245,108,0.05,0.504,15.71,92.8,0.974,0.0758,25.81,0.59,9.5,42.9,57.2,1384,1331,41.33,0.0015,68.892,67.4229774918721,282725,709261,1.06064786157705,31,0.001,0.507
"18003",515.6125,338,151,0.12,0.475,33.18,234.3,0.755,0.0387,59.75,0.67,10.7,50.6,72.2,2001,2011,41.58,0.0011,224.8,125.541789960671,252997,712464,1.04574053218495,53,2e-04,0.458
"18005",209.82,232,191,0.05,0.494,22.56,92.2,0.976,0.071,36.91,0.59,9.4,41.5,55.6,1337,1290,42.06,0.0061,76.971,83.9613274170288,281977,707779,1.07684975359325,27,0.0046,0.504
"18014",25.3725,179,78,0.44,0.407,8.26,88.8,0.893,0.0539,15.89,0.59,10.1,42.4,58.2,1333,1315,39.35,0.0109,15.727,12.9814102272993,276258,689321,1.07162505078868,31,0.0126,0.467
"18023",2.195,489,111,0.32,0.318,1.54,136.7,1,0.0292,2.62,0.79,11.5,56.1,81.6,2406,2159,47.75,0,5.703,5.45227337325916,247414,725655,1.08942334953119,11,0,0.368
"19001",379.51,177,21,0.25,0.396,24.66,45.6,0.966,0.085,46.96,0.5,8.6,34.9,46.1,892,905,44.41,0.0609,128.6,87.2464182400302,303345,665781,1.03851747260848,67,0.0339,0.399
"19002",44.3675,203,39,0.26,0.359,10.84,37.2,0.995,0.0872,19.61,0.57,8.6,34,46.1,1016,1022,47,0.0513,18.569,21.8984715445587,292081,664433,1.06614577214058,45,0.0327,0.365
"19004",79.845,299,91,0.26,0.532,11.31,112,0.975,0.0316,21.3,0.49,8.7,38.3,52.3,949,971,37.22,0.0185,24.23,18.3878358235895,319829,657686,1.0575545874318,61,0.0182,0.561
"19005",232.545,221,7,0.28,0.36,17.11,46.5,0.953,0.0647,32,0.51,8.7,35.3,47.8,964,979,46.03,0.0465,93.91,69.8190119129184,299151,662123,1.04918561063398,62,0.0276,0.361
"19006",102.285,229,349,0.46,0.448,16.94,72,0.909,0.0579,32.29,0.49,8.9,38,49.6,867,901,42.88,0.1094,31.564,19.0630549015476,315637,664875,1.06145080966677,59,0.0992,0.428
"19007",322.53,239,27,0.23,0.56,24.75,94.8,0.944,0.0433,44.49,0.49,8.6,35.9,49.9,837,853,34.09,0.0325,66.77,37.7188915041306,327538,659704,1.08678276075577,61,0.0236,0.567
"19008",113.49,286,353,0.35,0.622,12.43,94,0.888,0.0418,23.74,0.49,8.9,37.2,50.8,859,883,31.01,0.0043,19.1135,10.6153210875095,331181,655401,1.14320136571786,26,0.0032,0.592
"19011",133.4125,272,83,0.25,0.526,22.51,121,0.965,0.0328,36.77,0.49,8.7,38,52.1,907,920,37.15,0.0258,36.8565,25.5637180762533,321719,659958,1.09564522364187,44,0.0209,0.551
"19014",37.33,133,84,0.39,0.423,7.94,44.2,0.989,0.0738,15.98,0.49,8.7,35.5,44.3,826,831,43.13,0.1154,10.681,10.3849532420127,305306,671153,1.12028818229376,27,0.0763,0.431
"19017",40.3075,112,5,0.38,0.499,10.13,43,0.99,0.1281,20.77,0.49,8.6,35.3,45,756,759,43.35,0.1125,12.8,7.26727892677474,314488,669135,1.08211527976542,31,0.05,0.51
"19021",155.9275,246,358,0.34,0.574,16.28,83.8,0.916,0.0418,31.02,0.49,8.7,35.7,49.6,818,837,32.4,0.0321,37.742,16.5609309058525,331318,657537,1.11102113199015,31,0.0265,0.56
"20001",307.2625,174,3,0.25,0.489,25.74,70.2,0.987,0.0503,43.29,0.43,8.5,34.7,48.9,713,734,35.37,0.0072,58.4985,35.9605286994641,347346,666388,1.08727264089654,64,0.0035,0.489
"20003",162.77,195,5,0.26,0.523,10.84,65.6,0.987,0.0453,22.51,0.43,8.4,32.7,48.7,724,758,33.89,0.0045,28.34,19.6033655245272,342843,663793,1.18970355900261,47,0.0026,0.52
"20005",92.6,231,348,0.36,0.542,11.12,76,0.989,0.0297,22.15,0.43,8.6,34.2,49.9,762,800,32.42,2e-04,18.2145,13.0580223059216,345090,662102,1.07848818404654,44,0.001,0.536
"20006",57.55,178,342,0.38,0.481,11.06,104.6,0.981,0.0187,20.66,0.43,9.3,43.5,54.7,742,745,34.06,8e-04,11.748,9.60741110147841,359968,671187,1.17738017978226,28,1e-04,0.525
"20007",67.78,221,345,0.39,0.517,11.75,112.5,0.977,0.0294,20.82,0.43,9,40.3,53.1,770,790,32.77,4e-04,16.6,10.6853971912014,353772,665944,1.12888897744743,50,0,0.527
"21001",22.0075,474,333,0.29,0.406,5.27,221.2,0.779,0.011,10.35,0.72,11,46.2,64.1,1702,1753,45.21,0,19.1,9.76807737168543,310762,616931,1.08972648285858,15,0,0.392
"21003",698.12,355,25,0.05,0.466,25.22,181,0.974,0.0506,49.87,0.56,9.4,37.7,49.7,1140,1199,37.16,0.0025,188.6235,197.737604279379,314088,636305,1.03993600716172,76,0.0019,0.517
"21005",377.175,379,341,0.08,0.452,23.58,202.6,0.965,0.0481,42.68,0.66,9.9,39.9,52.7,1255,1311,37.73,0.0016,140.3,137.163216956423,310349,629330,1.04940487486736,62,8e-04,0.507
"21006",1505.54,358,77,0.07,0.444,43.88,191.9,0.963,0.0443,83.97,0.58,9.6,38.3,50.7,1164,1232,38.34,0.0023,398.4495,402.359501083522,323622,631476,1.05040807457005,62,0.0021,0.496
"21007",502.735,372,94,0.13,0.396,31.16,190.4,0.928,0.0386,54.52,0.67,10.2,41.3,55.5,1306,1409,41.68,0.0018,226.4695,187.829114807939,330137,621040,1.0608379249764,62,0.002,0.443
"21008",1121.5475,239,33,0.13,0.389,33.79,117.7,0.987,0.0464,62.63,0.57,9.6,34.2,44.5,936,1008,42.86,0.0036,336,265.232213010259,356833,614439,1.05868710099697,63,0.0025,0.458
"21009",4398.76,264,67,0.1,0.443,81.11,136,0.981,0.0544,153.09,0.49,9.3,35.7,46.8,955,1008,38.88,0.0032,834.462,753.002693013926,352258,629303,1.050148738827,63,0.0024,0.495
"21011",232.455,411,105,0.16,0.402,24.15,214.6,0.875,0.0267,41.71,0.7,10.1,41.2,55.7,1347,1388,42.11,2e-04,89.76,81.8935336854037,327402,624662,1.04900132836432,61,2e-04,0.443
"21012",324.42,283,58,0.13,0.382,18.98,151,0.993,0.0323,33.68,0.59,10.4,38.7,50.1,1149,1207,43.58,0.0071,197.421,138.869687584797,343051,607413,1.03356332381791,60,0.0061,0.429
"21013",205.445,340,83,0.16,0.473,23.73,148.6,0.999,0.0348,42.61,0.44,9.3,36.2,48.2,930,992,34.69,8e-04,52.8655,51.5206548597012,341475,648495,1.07036611029836,52,0.001,0.531
"21014",138.7025,453,330,0.15,0.36,12.56,224,0.917,0.0193,23.03,0.72,10.8,45.6,62.4,1567,1619,45.12,9e-04,94.576,83.2058463314168,309935,619915,1.10125562421544,37,4e-04,0.412
"21015",239.11,292,139,0.2,0.496,18.92,106.3,0.999,0.0338,31.38,0.43,9.1,35.7,47.7,853,894,33.4,0.0013,61.3,45.6340248231297,353944,650941,1.08701573626136,57,0.0013,0.563
"21016",118.865,150,114,0.12,0.543,15.7,68.7,0.997,0.0356,37.24,0.29,8.7,33.3,44.6,730,747,30.2,0.0021,40.178,14.8580195714002,385388,663512,1.09525831789144,56,7e-04,0.597
"21017",38.5925,470,85,0.12,0.331,5.88,241.5,1,0.012,11.98,0.72,11.6,49.9,67.2,1740,1936,43.7,0,60.892,45.2288471752946,320191,610868,1.053435941399,58,0,0.421
"21019",59.9525,458,10,0.17,0.406,7.69,273,0.997,0.0312,14.18,0.72,9.9,40.6,52.6,1344,1466,40.54,0,25.609,39.9973994638848,320823,631646,1.02956986451566,47,0,0.482
"21020",153.9425,451,101,0.17,0.363,11.89,219.9,0.82,0.0187,23.28,0.72,10.6,44.6,60.2,1496,1545,46.25,0,55.021,58.0579099929065,322923,622850,1.06087817840639,48,0,0.395
"21021",3345.765,296,67,0.09,0.44,64.05,148.8,0.978,0.046,125.01,0.53,9.5,35.9,47.1,1014,1077,38.7,0.0035,758.675,667.112035645133,340987,628413,1.05873621781443,54,0.0028,0.496
"21024",139.9525,253,6,0.25,0.357,18.67,111.6,0.997,0.0284,33.79,0.57,9.5,32.7,43.2,914,975,43.99,0.0062,68.934,47.9229622791771,365677,610876,1.0526986190065,51,0.0045,0.437
"21025",173.79,242,82,0.17,0.352,26.49,87.2,0.948,0.0605,48.28,0.58,9.3,32.7,42.5,926,993,46.62,3e-04,51.665,50.2862241613387,347699,621528,1.12809906747894,33,2e-04,0.391
"21027",155.34,195,139,0.29,0.418,20.16,56.7,0.997,0.0699,37.22,0.41,8.6,33.1,45.7,774,805,36.77,0.0039,39.249,31.251201734068,371056,650491,1.14656036907324,49,0.0027,0.518
"21029",34.4025,420,10,0.08,0.289,6.4,165.1,1,0.0212,12.46,0.72,10.8,43.7,61.2,1532,1703,49.11,0,37.765,38.3951566575752,305785,617315,1.04469480677494,9,0,0.353
"21030",56.08,511,109,0.2,0.332,6.52,226.7,1,0.0086,13.58,0.72,11.1,48.6,65.5,1669,1637,47.73,0,77.673,59.2596416339312,318932,622291,1.25551060812491,13,0,0.393
"21031",634.675,209,45,0.12,0.465,39.24,127.4,0.992,0.0672,77.05,0.46,9.2,37.9,49.7,827,851,41.45,0.0021,82.07,104.56908653221,394993,625892,1.06273045821096,25,0.0011,0.504
"21032",196.05,272,356,0.13,0.36,17.75,193.9,0.986,0.0394,36.77,0.46,9.5,38.4,51.7,877,929,50.64,0.0013,43.3185,55.9870046565113,385594,625682,1.11315312557376,40,8e-04,0.456
"21035",655.535,205,44,0.12,0.462,44.51,125.2,0.992,0.0671,83.52,0.44,9.2,37.7,49.4,822,845,41.4,0.002,124.02,106.927599593845,394908,626374,1.23542548766512,21,0.0011,0.5
"22001",578.245,225,110,0.19,0.37,45.2,110,0.993,0.0403,82.4,0.44,9.1,34.4,44.7,850,884,42.53,0.002,159.0415,131.581307393415,400760,603912,1.05749526355651,60,0.0012,0.393
"22002",60.01,406,120,0.18,0.309,8.67,205.3,1,0.0077,15.93,0.46,9.8,36,48.7,1020,1071,51.12,0,25.84,32.1613151719107,383299,611170,1.12271601160373,15,0,0.413
"22003",21.88,444,191,0.23,0.273,9.32,205.2,1,0.0062,16.27,0.45,9.8,40.5,54.5,1056,1052,56.92,0,19.533,15.475919636913,388728,614170,1.10100406352493,37,2e-04,0.302
"22004",202.9125,134,103,0.15,0.426,19.6,80,0.997,0.0406,34.61,0.45,9,35.8,44.3,758,753,35.72,0.0056,63.23,36.5079117558086,410418,614239,1.06746702121553,20,0.0046,0.427
"22006",273.6725,115,94,0.25,0.344,23.1,31.9,0.99,0.1148,44.77,0.42,9.4,33.2,42.8,696,725,38.61,0.0095,52.773,44.7947257531028,411289,575861,1.1280023948164,63,0.01,0.333
"22007",282.01,182,112,0.26,0.368,20.15,50.8,0.973,0.0591,39.01,0.45,9.5,34,44.6,794,847,41.66,3e-04,101.234,57.257732006678,404914,587655,1.08969278521995,61,5e-04,0.347
"22009",345.98,284,120,0.16,0.352,26.29,140.7,0.994,0.0359,49.15,0.45,9.1,34.3,44.7,905,951,45.5,0.0018,135.648,101.490578541607,392511,606428,1.06655306726446,48,0.0014,0.395
"23001",2172.36,286,83,0.09,0.342,55.02,93.7,0.961,0.0504,94.29,0.51,9.9,35.6,47.7,1016,1082,48.19,0.0026,837.962,552.594357423805,378954,572789,1.0305324163355,67,0.002,0.318
"23002",118.105,363,49,0.28,0.366,11.34,96.9,0.996,0.0203,23.06,0.59,10.4,41.2,52.1,943,960,48.18,7e-04,48.41,43.1505808742347,396342,549463,1.21078319735252,11,3e-04,0.316
"23003",1012.975,278,125,0.14,0.334,37.97,92.3,0.991,0.0471,66.25,0.5,9.8,34.7,46.3,1023,1091,50.69,5e-04,437.4,330.480893317919,377080,589424,1.08475581658068,21,5e-04,0.31
"23004",749.895,350,23,0.14,0.321,32.2,107.1,0.989,0.044,60.11,0.6,10.3,38.3,52.4,1147,1235,49.22,0.0023,450.2055,317.944565078391,373642,554530,1.03810587490031,64,0.0013,0.298
"23005",283.3775,325,115,0.13,0.334,21.38,108.9,1,0.025,36.36,0.62,10.5,39,51.2,1230,1319,54.54,4e-04,221,156.934116072966,365544,590724,1.10968909327953,19,0,0.274
"23006",323.05,429,12,0.19,0.291,20,123.5,0.995,0.0303,35.88,0.64,10.7,41.4,56.8,1331,1465,52.86,0.0015,243.67,210.269318422227,369209,547798,1.04408956786562,57,8e-04,0.27
"23007",243.985,281,50,0.23,0.368,26.32,92,0.908,0.0265,49.66,0.59,10.1,39.1,49.9,849,869,43.82,0.0224,43.491,46.4773165053946,402788,551186,1.11147220703892,59,0.0177,0.335
