"","AREA","ALTBAR","ASPBAR","ASPVAR","BFIHOST19","DPLBAR","DPSBAR","FARL","FPEXT","LDP","PROPWET","RMED-1H","RMED-1D","RMED-2D","SAAR","SAAR4170","SPRHOST","URBEXT2000","QMED","QMEDcd","X","Y","QMEDfse","N","URBEXT1990","BFIHOST"
"2001",553.24,213,201,0.04,0.312,30.33,97,0.858,0.0555,56.78,0.65,8.3,33,43.7,1117,1102,52.88,0,170.217,146.527431106304,284344,929781,1.03859032539605,48,0,0.324
"2002",423.48,259,178,0.15,0.315,28.71,97.3,0.845,0.0553,52.37,0.59,8.8,36.4,48.9,1217,1190,54.16,2e-04,153.435,126.365055204121,274454,916267,1.05734847742696,30,0,0.351
"3002",237.1375,439,44,0.06,0.331,15.94,218.2,0.974,0.0377,31.93,0.81,9.2,43.7,65.4,1784,2024,49.93,0,177.884,198.858300406004,240494,888016,1.04721759179954,49,0,0.436
"3003",331.6675,297,61,0.07,0.309,16.79,148.2,0.915,0.0488,31.2,0.81,9.4,45.4,65.2,1896,1962,53.57,0,347.466,237.035067432252,231272,901365,1.05134198909578,45,0,0.359
"4003",202.375,396,123,0.11,0.366,22.55,147.7,0.908,0.0374,43.06,0.63,9.3,40,56.4,1366,1471,48.11,5e-04,80.293,91.7905081417852,253145,877495,1.04227249781199,49,5e-04,0.385
"4005",123.665,463,123,0.03,0.299,12.97,289,0.918,0.0366,28.09,0.76,9.7,47.4,73.3,2145,2074,52.86,0,101.5035,118.314548769132,220288,850359,1.07052296739256,38,0,0.389
"4006",117.535,351,56,0.05,0.314,13.08,164.6,0.814,0.0479,23.51,0.83,9.6,51,75.5,2203,2016,52.93,0,84.153,74.4803195248231,212722,856679,1.03738178547103,33,0,0.333
"6003",398.45,408,127,0.12,0.346,27.8,209.7,0.985,0.0398,49.27,0.74,11.2,55.4,81.5,2115,2146,52.51,0,312.916,367.225967919409,221415,812368,1.12363229361282,14,1e-04,0.362
"6008",107.02,346,353,0.13,0.417,11.37,118.3,0.839,0.0467,25.24,0.7,9.2,35.5,51.1,1290,1339,43.43,0,41.4335,33.158371843727,238424,828131,1.05495616979404,44,2e-04,0.433
"6012",56.2025,352,344,0.22,0.359,8.19,106.9,0.915,0.0508,18.24,0.7,9.2,35.3,51.1,1331,1412,46.36,0,32.997,31.0395066804386,235816,827204,1.11021205638157,16,1e-04,0.392
"7001",415.59,560,24,0.11,0.368,25.6,138.9,0.982,0.0392,50.96,0.68,10.3,39.4,56.9,1217,1429,55.84,2e-04,272.93,186.671746085271,273216,821453,1.02869865057895,63,2e-04,0.451
"7002",781.775,442,11,0.16,0.377,54.64,117.2,0.973,0.0483,100.09,0.56,10,39.1,54.2,1065,1206,51.62,1e-04,348.369,243.472391162305,284035,830207,1.06714949929113,65,1e-04,0.434
"7003",216.66,192,3,0.34,0.589,18.73,79.1,0.979,0.0741,39.56,0.42,9.1,37.5,48.1,833,890,34.65,7e-04,42.536,27.2117781951223,314503,853472,1.09729725869281,65,3e-04,0.577
"7004",304.96,290,347,0.31,0.563,30.39,102.7,0.923,0.0682,58.04,0.5,9.5,35.7,48.3,942,1067,41.25,9e-04,95.831,42.270905264423,273723,837368,1.10971260431868,45,7e-04,0.587
"7005",164.625,316,336,0.22,0.324,13.99,77.4,0.925,0.0566,28.11,0.48,9.5,38.1,50.4,871,923,50.31,0,63.692,41.1630955139863,301694,839868,1.10688468846811,41,0,0.352
"7008",128.055,376,339,0.24,0.528,11.29,130.1,0.845,0.0585,24.52,0.68,9.8,36.9,51.6,1035,1205,46.31,0,39.246,20.0407386072473,266440,828764,1.06432873438644,30,1e-04,0.529
"7009",28.295,192,332,0.54,0.606,8.03,61.3,0.998,0.0601,13.4,0.42,9.2,37.7,48.8,803,850,33.74,0,7.053,4.44137110340406,303990,850878,1.15648186374368,25,0,0.606
"7010",80.675,185,11,0.42,0.603,18,62.6,0.984,0.0651,29.63,0.42,9.4,37.5,49.6,810,869,34.12,0,17.4525,10.6467262534369,291350,847700,1.08465225821867,18,2e-04,0.64
"7011",36.375,168,8,0.33,0.663,7.94,111.5,0.98,0.0413,14.81,0.42,9,35.9,46.8,808,873,27.08,6e-04,4.298,4.19437179842046,309709,854047,1.36242257777818,11,1e-04,0.661
"7012",31.5975,322,2,0.41,0.378,6.56,77.6,0.964,0.0328,13.37,0.42,9.6,41.5,53.5,941,965,50.67,0,7.262,12.1635033911522,312408,846230,1.36503841466051,9,0,0.363
"8002",1008.9075,534,10,0.02,0.378,37.07,175.2,0.927,0.0565,70.83,0.71,9.6,36.5,52.6,1316,1340,49.67,6e-04,156.0135,357.233359942413,270711,793741,1.09369969026014,72,3e-04,0.452
"8004",540.6925,525,10,0.1,0.404,28.8,178.2,0.989,0.0257,64.94,0.63,9.3,39.9,55.5,1108,1234,43.44,2e-04,211.427,188.812436908628,316610,817591,1.05574788802224,71,5e-04,0.451
"8005",1261.3,522,348,0.04,0.412,47.44,174.2,0.917,0.0589,88.23,0.7,9.5,36.4,52.5,1277,1307,47.64,0.0011,170.15,366.811951737813,275073,796806,1.08188514863899,72,5e-04,0.47
"8006",2852.39,460,17,0.06,0.438,87.36,156.9,0.959,0.0525,162.27,0.63,9.2,36.8,51.6,1119,1183,43.98,0.0013,500.733,650.910026296521,294880,812741,1.04957091765575,71,9e-04,0.485
"8007",401.7375,518,312,0.03,0.34,21.76,181.3,0.945,0.0539,41.37,0.75,10,39.5,55.6,1430,1445,51.15,0,92.42,212.410059283434,258195,791356,1.06889985748743,67,1e-04,0.411
"8008",131.61,622,7,0.1,0.364,18.71,211.8,0.898,0.0312,29.5,0.72,10.1,38,56.7,1436,1450,53.49,0,50.652,65.7946171884956,276491,786794,1.09040013044198,54,0,0.448
"8009",272.2025,461,94,0.19,0.401,21.22,117.9,0.994,0.0505,44.15,0.68,9.1,33.1,46.8,1012,1056,46.63,6e-04,88.368,91.9391056858486,285087,819396,1.04770504049197,71,2e-04,0.498
"8010",1745.8425,495,13,0.05,0.422,51.13,158.7,0.938,0.0612,102.29,0.69,9.3,35.6,51.1,1194,1235,46.42,0.0012,240.878,460.287163428648,279940,802927,1.06688797575492,71,5e-04,0.484
"8011",102.7775,445,333,0.17,0.378,11.38,168.4,1,0.0241,22.22,0.63,9,37,50.4,1001,1141,41.99,1e-04,33.962,42.4288368255813,324551,823501,1.08945378956958,43,0.001,0.449
"8013",229.6275,618,324,0.11,0.385,18.61,180.8,0.993,0.0408,39.7,0.7,9.4,35.4,52.1,1286,1351,49.14,0,116.085,122.248803365549,286401,794014,1.07297897402402,31,0,0.482
"9001",444.9125,329,55,0.12,0.463,29.26,124.5,0.998,0.0343,54.31,0.53,8.6,36.2,51.8,988,1078,37.32,0.0021,128.5155,114.79811689585,344246,831611,1.10657961860111,64,0.0017,0.505
"9002",961.45,244,73,0.09,0.484,45.87,100.9,0.997,0.0412,84.64,0.46,8.3,34.8,48.6,928,994,35.27,0.0024,268.355,183.394832177805,348676,840600,1.06195088042236,64,0.0022,0.511
"9003",179.98,208,98,0.1,0.467,14.7,84.6,0.994,0.0401,27.65,0.42,8.5,36.3,48.9,900,957,36.31,0.0055,55.388,43.0473561980883,341980,850068,1.07710026389362,64,0.0051,0.474
"9004",182.425,297,71,0.12,0.505,14.51,132,0.998,0.0313,30.03,0.53,8.4,35.4,51.6,955,1045,32.61,0.0014,28.472,44.423548126465,348531,829935,1.10221919308801,43,0.0012,0.567
"9005",68.075,439,1,0.15,0.358,7.87,118.3,1,0.0252,16.74,0.59,9,37.7,53.9,1071,1172,46.17,0,39.746,35.3359280053333,338071,824955,1.08641781258136,34,1e-04,0.396
"9006",47.1275,141,27,0.27,0.512,7.98,77.6,0.996,0.0309,15.12,0.43,8,32.5,44.3,823,827,33,3e-04,17.671,9.9591687386677,350148,861899,1.24482143986764,13,0.0015,0.549
"9010",225.485,384,45,0.15,0.406,26.63,127.1,0.997,0.0298,45.42,0.55,8.8,37.6,52.9,1036,1132,42.57,1e-04,110.4285,81.5920575574212,339250,831368,1.29033373221435,14,2e-04,0.435
"10001",457.115,111,115,0.14,0.576,24.38,57.2,0.992,0.0432,52.19,0.42,8.3,33.7,44.3,830,861,28.31,0.0013,50.18,55.8663139994894,381355,839183,1.03622919766371,46,7e-04,0.614
"10002",325.7225,87,87,0.17,0.539,23.62,42.3,0.984,0.0751,41.29,0.4,8.2,34,44.6,812,876,33,0.0036,47.547,43.976944095123,396185,850658,1.08304627206807,52,0.0029,0.522
"10003",532.2875,108,104,0.14,0.592,24.96,55.1,0.993,0.047,55.13,0.42,8.3,33.6,44.3,826,857,27.83,0.0024,59.9705,59.5921351446982,382301,837609,1.11801706540901,40,0.0016,0.62
"11001",1269.145,262,96,0.1,0.551,59.74,111.4,0.996,0.0587,127.17,0.52,8.3,34.4,47.2,884,964,31.28,0.0041,136.246,169.096146726885,357665,817763,1.07912533879996,37,0.0028,0.584
"11002",792.6725,332,82,0.11,0.542,51.29,137.8,0.997,0.0507,102.59,0.55,8.4,34.9,47.6,916,1025,32.44,0.0016,110.331,126.177839069459,348554,814054,1.08120576296426,53,0.001,0.573
"11003",509.9375,408,75,0.11,0.527,33.5,161,0.996,0.0363,69.02,0.56,8.6,35.7,49.2,967,1080,33.59,3e-04,95.8105,101.096819957514,339410,812896,1.08247451687409,50,4e-04,0.565
"12001",1380.0625,512,93,0.07,0.455,60.44,185.7,0.976,0.0468,107.57,0.62,8.5,38,53.3,1108,1193,40.27,0.001,436.809,349.915575733768,325600,793482,1.04968192674376,77,5e-04,0.506
"12002",1833.2125,447,82,0.07,0.455,66.91,169.4,0.98,0.0483,127.69,0.58,8.5,38.5,53.6,1080,1162,39.69,0.0016,556.402,432.499302836616,335380,793266,1.06335912523424,33,8e-04,0.507
"12003",697.505,621,95,0.04,0.404,37.16,219.5,0.986,0.0379,62.98,0.68,8.7,39,55,1231,1341,44.94,1e-04,303.294,274.772956937748,311370,790127,1.0311187548561,47,1e-04,0.459
