"","AREA","ALTBAR","ASPBAR","ASPVAR","BFIHOST19","DPLBAR","DPSBAR","FARL","FPEXT","LDP","PROPWET","RMED-1H","RMED-1D","RMED-2D","SAAR","SAAR4170","SPRHOST","URBEXT2000","Easting","Northing","QMED","Lcv","LSkew","LKurt","L1","L2","N"
"10003",532.2875,108,104,0.14,0.592,24.96,55.1,0.993,0.047,55.13,0.42,8.3,33.6,44.3,826,857,27.83,0.0024,382301,837609,59.9705,0.28935858109157,0.271060079702534,0.217743096899834,70.065525,20.2740608974359,40
"11001",1269.145,262,96,0.1,0.551,59.74,111.4,0.996,0.0587,127.17,0.52,8.3,34.4,47.2,884,964,31.28,0.0041,357665,817763,136.246,0.286813051108534,0.31457794176678,0.186994625866809,166.234702702703,47.6782822822823,37
"11002",792.6725,332,82,0.11,0.542,51.29,137.8,0.997,0.0507,102.59,0.55,8.4,34.9,47.6,916,1025,32.44,0.0016,348554,814054,110.331,0.258251754915733,0.341944154954674,0.237125051867339,135.230547169811,34.9235261248186,53
"11003",509.9375,408,75,0.11,0.527,33.5,161,0.996,0.0363,69.02,0.56,8.6,35.7,49.2,967,1080,33.59,3e-04,339410,812896,95.8105,0.253822718938591,0.346294160169482,0.263571796807326,110.75,28.110866122449,50
"12001",1380.0625,512,93,0.07,0.455,60.44,185.7,0.976,0.0468,107.57,0.62,8.5,38,53.3,1108,1193,40.27,0.001,325600,793482,436.809,0.206767377672665,0.0750225020489454,0.196743856046487,427.594636363636,88.4126216678059,77
"12002",1833.2125,447,82,0.07,0.455,66.91,169.4,0.98,0.0483,127.69,0.58,8.5,38.5,53.6,1080,1162,39.69,0.0016,335380,793266,556.402,0.155176205805052,0.0323111009699415,0.12110222283689,550.640545454545,85.4463106060606,33
"12003",697.505,621,95,0.04,0.404,37.16,219.5,0.986,0.0379,62.98,0.68,8.7,39,55,1231,1341,44.94,1e-04,311370,790127,303.294,0.181517617206525,0.241919455702013,0.303888870864481,317.473872340426,57.6271008325624,47
"12005",109.385,592,12,0.15,0.464,14.57,188.6,0.896,0.0293,28.24,0.68,9,43.8,59.6,1244,1354,43,1e-04,330719,785800,72.1125,0.254665141215519,0.196120230893297,0.165515202849042,77.7025217391304,19.7881236714976,46
"12006",145.91,557,132,0.16,0.388,16.56,180,0.997,0.0294,33.94,0.64,8.4,35.9,50.1,1048,1036,42.66,0,325512,801212,59.8715,0.202458913403919,0.085088347248799,0.0865919810567682,59.333,12.0124947089947,28
"12007",291.995,682,116,0.09,0.357,15.26,235.2,0.989,0.0331,28.82,0.69,9.1,42,60.5,1334,1492,50.1,0,301329,789774,183.215,0.149724125746635,0.236720947786469,0.303180726999204,189.0101875,28.2993850806452,32
"12008",232.8425,330,39,0.15,0.366,16.9,146.5,0.998,0.0381,30.41,0.54,8.8,44,59.7,1130,1185,44.79,2e-04,360827,787475,136.337,0.240595997549276,0.198819650159261,0.167274386198917,148.340657894737,35.6901685633001,38
"14001",308.7375,109,76,0.11,0.591,20.1,72.7,0.992,0.1039,40.71,0.4,8.4,34.5,45.4,800,830,29.71,0.0109,330238,711373,40.417,0.175558293663614,0.0315831590461417,0.0796719917171447,40.4228974358974,7.09657489878543,39
"15003",3211.225,460,124,0.06,0.411,67.4,185.9,0.807,0.0406,117.55,0.69,9.9,43.4,61.1,1609,1611,45.36,7e-04,268184,753767,865.004,0.174369230284828,0.202787865610794,0.170691224828823,901.419236111111,157.179778364632,72
"15006",4586.7875,411,136,0.07,0.442,70.01,166.7,0.847,0.0534,130.36,0.58,9.4,41.6,57.6,1424,1442,42.87,0.0015,283585,754073,1042.115,0.160799647325088,0.155454948110263,0.178039952764294,1056.5985915493,169.900680885312,71
"15007",1149.075,467,83,0.06,0.409,47.49,230,0.836,0.0373,89.04,0.7,10.4,49.4,69.9,1950,1900,44.6,7e-04,259167,739906,360.023,0.176121162141407,0.212090049119912,0.155016495104499,382.593,67.3827237871674,72
"15008",176.61,140,15,0.12,0.587,14.31,59.2,0.973,0.1266,26.19,0.38,8.2,37.1,48.3,840,875,37.21,0.0146,341013,746580,26.832,0.132298281773682,0.0586451295699449,0.141285940943961,27.082641509434,3.58298693759071,53
"15011",388.3325,552,97,0.08,0.372,31.03,272.1,0.907,0.0283,59.97,0.7,10.7,49.9,71.6,2005,1947,47.57,1e-04,256969,745549,219.003,0.185334074669381,0.261462491308946,0.274615501064779,229.439137254902,42.5228901960784,51
"15013",173.28,408,126,0.17,0.422,28.84,196.9,0.996,0.0308,51.25,0.61,9.8,44.8,61,1394,1460,42.65,0.0014,288255,731394,120.636,0.19648715109203,0.13964963533881,0.142360408680691,121.352783783784,23.8442627627628,37
"15016",598.2825,446,78,0.07,0.42,35.36,226.5,0.76,0.0344,68.92,0.71,10.7,52.9,75.1,2130,2068,44.79,6e-04,253567,733600,196.18,0.158743929324981,0.172849459903229,0.128669012156338,202.997183673469,32.2245705782313,49
"15023",210.715,408,71,0.07,0.429,18.02,147,0.929,0.0335,35.28,0.65,9.3,39.7,53.3,1326,1489,39.88,1e-04,290065,739933,126.65,0.229088539923702,0.259914923787218,0.261780598446058,141.3070625,32.3718286290323,32
"15025",437.405,452,168,0.12,0.438,29.24,173,0.989,0.0385,46.6,0.55,8.6,38.2,51.7,1130,1242,39.09,0,308883,764204,194,0.203334204108617,0.24216823155169,0.152653201906566,218.457363636364,44.4198541666667,33
"16001",584.665,315,140,0.11,0.476,31.18,177.2,0.894,0.056,55.58,0.63,9.8,45.9,63.4,1505,1531,41.12,0.0025,275774,722834,203.9845,0.109831741293027,0.0186010234450465,0.120155207260557,203.341534482759,22.3333548094374,58
"16004",783.8975,274,87,0.07,0.494,39.58,155.5,0.917,0.0611,71.5,0.59,9.5,43.8,60.3,1404,1417,39.91,0.0034,280553,720580,249.2,0.136500654174828,0.094978001012996,0.130053279996731,255.617428571429,34.8919462184874,35
"17001",121.14,244,78,0.24,0.395,14.47,98.8,0.843,0.0404,27.98,0.59,10.2,43.9,62.1,1519,1472,44.19,0.0133,273380,684327,77.786,0.207316961948661,0.202778721268551,0.13455867890394,82.0046,17.0009445378151,35
"17003",51.4875,111,354,0.15,0.413,7.77,58.5,0.995,0.0867,16.22,0.58,8.8,37.8,51.1,1160,1148,40.58,0.0941,279483,677422,21.153,0.162472653310615,0.0924012255933321,0.245489379129825,20.9771612903226,3.40821505376344,31
"17004",159.1925,125,96,0.17,0.385,19.9,54.2,0.905,0.0859,39.89,0.45,8.7,33.9,44.7,874,883,41.73,0.0484,319097,695298,21.499,0.185655525856659,0.0141102223085248,0.000713222478782886,22.4432592592593,4.1667150997151,27
"18003",515.6125,338,151,0.12,0.475,33.18,234.3,0.755,0.0387,59.75,0.67,10.7,50.6,72.2,2001,2011,41.58,0.0011,252997,712464,224.8,0.174432422035097,0.119844948992284,0.12375811346198,236.867773584906,41.3174194484761,53
"18014",25.3725,179,78,0.44,0.407,8.26,88.8,0.893,0.0539,15.89,0.59,10.1,42.4,58.2,1333,1315,39.35,0.0109,276258,689321,15.727,0.225512876500309,0.170640498233232,0.135429417999918,17.2849677419355,3.89798279569892,31
"19001",379.51,177,21,0.25,0.396,24.66,45.6,0.966,0.085,46.96,0.5,8.6,34.9,46.1,892,905,44.41,0.0609,303345,665781,128.6,0.168778587717991,0.0106755451592374,0.0786937562540621,128.613014925373,21.7071230212574,67
"19005",232.545,221,7,0.28,0.36,17.11,46.5,0.953,0.0647,32,0.51,8.7,35.3,47.8,964,979,46.03,0.0465,299151,662123,93.91,0.207856257089768,0.215883582268335,0.214454954126337,98.6991129032258,20.5152281861449,62
"19006",102.285,229,349,0.46,0.448,16.94,72,0.909,0.0579,32.29,0.49,8.9,38,49.6,867,901,42.88,0.1094,315637,664875,31.564,0.217361196913149,0.21509669344858,0.157175945082258,34.8576779661017,7.57670660432495,59
"19007",322.53,239,27,0.23,0.56,24.75,94.8,0.944,0.0433,44.49,0.49,8.6,35.9,49.9,837,853,34.09,0.0325,327538,659704,66.77,0.259650014439399,0.226375512013563,0.175788265154401,78.0915901639344,20.2764825136612,61
"19008",113.49,286,353,0.35,0.622,12.43,94,0.888,0.0418,23.74,0.49,8.9,37.2,50.8,859,883,31.01,0.0043,331181,655401,19.1135,0.367134632528765,0.303725167140972,0.318131817929764,23.0813461538462,8.47396153846154,26
"19014",37.33,133,84,0.39,0.423,7.94,44.2,0.989,0.0738,15.98,0.49,8.7,35.5,44.3,826,831,43.13,0.1154,305306,671153,10.681,0.222958054715379,0.160595559979051,0.0425884405262104,11.7345925925926,2.61632193732194,27
"19017",40.3075,112,5,0.38,0.499,10.13,43,0.99,0.1281,20.77,0.49,8.6,35.3,45,756,759,43.35,0.1125,314488,669135,12.8,0.20969872417409,0.25832234707068,0.137329433608046,13.8843225806452,2.91152473118279,31
"19021",155.9275,246,358,0.34,0.574,16.28,83.8,0.916,0.0418,31.02,0.49,8.7,35.7,49.6,818,837,32.4,0.0321,331318,657537,37.742,0.226759988938428,0.159525894221826,0.139197530834356,38.6497419354839,8.76421505376344,31
"20001",307.2625,174,3,0.25,0.489,25.74,70.2,0.987,0.0503,43.29,0.43,8.5,34.7,48.9,713,734,35.37,0.0072,347346,666388,58.4985,0.281913811583003,0.155815702264296,0.125850194194945,64.363640625,18.1449992559524,64
"20003",162.77,195,5,0.26,0.523,10.84,65.6,0.987,0.0453,22.51,0.43,8.4,32.7,48.7,724,758,33.89,0.0045,342843,663793,28.34,0.354178548368867,0.277282161141628,0.146479253092449,39.8755744680851,14.123073080481,47
"20005",92.6,231,348,0.36,0.542,11.12,76,0.989,0.0297,22.15,0.43,8.6,34.2,49.9,762,800,32.42,2e-04,345090,662102,18.2145,0.302792194635595,0.221944613532626,0.18765026708019,20.1465227272727,6.10020983086681,44
"20006",57.55,178,342,0.38,0.481,11.06,104.6,0.981,0.0187,20.66,0.43,9.3,43.5,54.7,742,745,34.06,8e-04,359968,671187,11.748,0.374891759870012,0.128049507689023,0.0581326805131837,14.1803928571429,5.31611243386243,28
"20007",67.78,221,345,0.39,0.517,11.75,112.5,0.977,0.0294,20.82,0.43,9,40.3,53.1,770,790,32.77,4e-04,353772,665944,16.6,0.306511890603576,0.186054287970842,0.130686881947157,18.25324,5.59483510204082,50
"21006",1505.54,358,77,0.07,0.444,43.88,191.9,0.963,0.0443,83.97,0.58,9.6,38.3,50.7,1164,1232,38.34,0.0023,323622,631476,398.4495,0.188807803550501,0.197907682012142,0.15568335491347,422.429741935484,79.7580317292438,62
"21007",502.735,372,94,0.13,0.396,31.16,190.4,0.928,0.0386,54.52,0.67,10.2,41.3,55.5,1306,1409,41.68,0.0018,330137,621040,226.4695,0.150084365995659,-0.0103200890469581,0.0626013830747199,231.759774193548,34.7835187731359,62
"21008",1121.5475,239,33,0.13,0.389,33.79,117.7,0.987,0.0464,62.63,0.57,9.6,34.2,44.5,936,1008,42.86,0.0036,356833,614439,336,0.178923260377482,0.128186481939882,0.118985688478261,360.315476190476,64.4688197644649,63
"21012",324.42,283,58,0.13,0.382,18.98,151,0.993,0.0323,33.68,0.59,10.4,38.7,50.1,1149,1207,43.58,0.0071,343051,607413,197.421,0.142568837156937,0.129598789221038,0.175034044253377,207.676833333333,29.6082446327684,60
"21013",205.445,340,83,0.16,0.473,23.73,148.6,0.999,0.0348,42.61,0.44,9.3,36.2,48.2,930,992,34.69,8e-04,341475,648495,52.8655,0.226024374547507,0.226857781103196,0.245732685963102,54.0786153846154,12.2230852187029,52
"21016",118.865,150,114,0.12,0.543,15.7,68.7,0.997,0.0356,37.24,0.29,8.7,33.3,44.6,730,747,30.2,0.0021,385388,663512,40.178,0.307889739827704,0.207353915773264,0.215458803147319,45.6697857142857,14.0612584415584,56
"21017",38.5925,470,85,0.12,0.331,5.88,241.5,1,0.012,11.98,0.72,11.6,49.9,67.2,1740,1936,43.7,0,320191,610868,60.892,0.171234948205451,0.206117996255834,0.198238881167983,63.3068620689655,10.8403472474289,58
"21020",153.9425,451,101,0.17,0.363,11.89,219.9,0.82,0.0187,23.28,0.72,10.6,44.6,60.2,1496,1545,46.25,0,322923,622850,55.021,0.219800850650133,0.23408572563954,0.164341632297174,61.9735625,13.6218417553192,48
"21021",3345.765,296,67,0.09,0.44,64.05,148.8,0.978,0.046,125.01,0.53,9.5,35.9,47.1,1014,1077,38.7,0.0035,340987,628413,758.675,0.165874507822551,0.135544973625021,0.139428526105619,794.234314814815,131.743226065688,54
"21024",139.9525,253,6,0.25,0.357,18.67,111.6,0.997,0.0284,33.79,0.57,9.5,32.7,43.2,914,975,43.99,0.0062,365677,610876,68.934,0.198062997709159,0.159632682145051,0.129692008278037,71.289862745098,14.1198839215686,51
"21025",173.79,242,82,0.17,0.352,26.49,87.2,0.948,0.0605,48.28,0.58,9.3,32.7,42.5,926,993,46.62,3e-04,347699,621528,51.665,0.214233997702801,0.0974305320868287,0.0554820103167356,50.4435151515152,10.8067159090909,33
"21027",155.34,195,139,0.29,0.418,20.16,56.7,0.997,0.0699,37.22,0.41,8.6,33.1,45.7,774,805,36.77,0.0039,371056,650491,39.249,0.316784015891221,0.208511186715072,0.0660727535224241,48.8628163265306,15.4789591836735,49
"21030",56.08,511,109,0.2,0.332,6.52,226.7,1,0.0086,13.58,0.72,11.1,48.6,65.5,1669,1637,47.73,0,318932,622291,77.673,0.21644705718937,0.0737645093003242,-0.0110157896191753,70.5156153846154,15.2628974358974,13
"21031",634.675,209,45,0.12,0.465,39.24,127.4,0.992,0.0672,77.05,0.46,9.2,37.9,49.7,827,851,41.45,0.0021,394993,625892,82.07,0.264355635379475,0.321866030143272,0.365326842469606,94.18508,24.8983566666667,25
"21032",196.05,272,356,0.13,0.36,17.75,193.9,0.986,0.0394,36.77,0.46,9.5,38.4,51.7,877,929,50.64,0.0013,385594,625682,43.3185,0.265962874347696,0.211153196110105,0.189275092870771,48.065425,12.7836185897436,40
"21035",655.535,205,44,0.12,0.462,44.51,125.2,0.992,0.0671,83.52,0.44,9.2,37.7,49.4,822,845,41.4,0.002,394908,626374,124.02,0.306088056589508,0.242494586138572,0.197963871759883,140.891,43.1250523809524,21
"22001",578.245,225,110,0.19,0.37,45.2,110,0.993,0.0403,82.4,0.44,9.1,34.4,44.7,850,884,42.53,0.002,400760,603912,159.0415,0.253185410801095,0.244064304617217,0.221911000498222,170.926033333333,43.2759779661017,60
"22006",273.6725,115,94,0.25,0.344,23.1,31.9,0.99,0.1148,44.77,0.42,9.4,33.2,42.8,696,725,38.61,0.0095,411289,575861,52.773,0.313687826236123,0.289312041134482,0.17030527842548,63.9361904761905,20.0560046082949,63
"22007",282.01,182,112,0.26,0.368,20.15,50.8,0.973,0.0591,39.01,0.45,9.5,34,44.6,794,847,41.66,3e-04,404914,587655,101.234,0.295893824134155,0.275198437442893,0.196306293953112,114.624754098361,33.9167568306011,61
"22009",345.98,284,120,0.16,0.352,26.29,140.7,0.994,0.0359,49.15,0.45,9.1,34.3,44.7,905,951,45.5,0.0018,392511,606428,135.648,0.241603566046002,0.214081736024898,0.20913487705737,146.984416666667,35.5119592198581,48
"23001",2172.36,286,83,0.09,0.342,55.02,93.7,0.961,0.0504,94.29,0.51,9.9,35.6,47.7,1016,1082,48.19,0.0026,378954,572789,837.962,0.163919096554366,0.144515294958744,0.174192272222823,869.91976119403,142.596461329715,67
"23002",118.105,363,49,0.28,0.366,11.34,96.9,0.996,0.0203,23.06,0.59,10.4,41.2,52.1,943,960,48.18,7e-04,396342,549463,48.41,0.170757070675305,0.0316365035319907,0.0314850739549476,43.3609090909091,7.40418181818182,11
"23003",1012.975,278,125,0.14,0.334,37.97,92.3,0.991,0.0471,66.25,0.5,9.8,34.7,46.3,1023,1091,50.69,5e-04,377080,589424,437.4,0.164430222297822,0.102634777649378,0.124478963203122,447.919047619048,73.6514285714285,21
"23004",749.895,350,23,0.14,0.321,32.2,107.1,0.989,0.044,60.11,0.6,10.3,38.3,52.4,1147,1235,49.22,0.0023,373642,554530,450.2055,0.15076854544581,0.195593631180889,0.183050767440949,475.2196875,71.6481810515873,64
"23005",283.3775,325,115,0.13,0.334,21.38,108.9,1,0.025,36.36,0.62,10.5,39,51.2,1230,1319,54.54,4e-04,365544,590724,221,0.153973529038437,0.0590571747865762,-0.0066502680452903,233.123157894737,35.8947953216374,19
"23006",323.05,429,12,0.19,0.291,20,123.5,0.995,0.0303,35.88,0.64,10.7,41.4,56.8,1331,1465,52.86,0.0015,369209,547798,243.67,0.140644725101859,0.248377182788063,0.203412452778976,262.050719298246,36.8560513784461,57
"23007",243.985,281,50,0.23,0.368,26.32,92,0.908,0.0265,49.66,0.59,10.1,39.1,49.9,849,869,43.82,0.0224,402788,551186,43.491,0.292650273086039,0.328936207767334,0.225192731256245,53.574186440678,15.6785002922268,59
"23008",345.1975,284,129,0.11,0.329,25.88,94.3,0.978,0.0409,48.82,0.47,9.4,32.7,44,941,1024,49.36,6e-04,384095,596079,130.4,0.194178937708305,0.260606785503619,0.215152399663142,140.477648148148,27.2778004891684,54
"23011",58.59,408,189,0.16,0.279,7.77,136.6,1,0.02,13.22,0.59,10.6,38.3,50.9,1199,1401,55.03,0,366679,598876,65.4045,0.171989209800624,0.0782747597169067,0.129670377937923,66.0014615384615,11.3515392156863,52
"23017",62.3525,124,94,0.15,0.387,10.17,63.9,0.995,0.0664,22,0.33,9.8,34.6,43.7,685,702,36.02,0.135,422476,555286,12.2,0.230852093642791,0.197261773372905,0.11180140028549,13.65,3.1511310782241,44
"23018",10.1375,91,67,0.25,0.333,2.89,30.9,0.977,0.1307,5.99,0.45,9.4,34.2,43.4,670,695,39.7,0.1,417741,568934,3.2875,0.273171528408812,0.192024258687777,0.185797674623036,3.43790625,0.939138104838709,32
"24001",661.1725,301,95,0.2,0.348,40.1,97.7,0.978,0.0347,71.51,0.47,10.1,35.8,46.9,932,970,43.94,0.0193,404830,534973,191.8135,0.187657527814808,0.214301019882643,0.0975792169065627,215.431484848485,40.4273398601399,66
"24003",173.49,472,75,0.17,0.305,13.24,132.2,0.978,0.0195,23.47,0.59,10.4,42.4,55.3,1279,1313,50.81,0.0015,388680,539355,125.313,0.162374624209892,0.166989274484418,0.171424310738314,130.755396825397,21.2313584229391,63
"24004",74.1225,316,95,0.33,0.355,9.84,109,0.999,0.0105,17.31,0.59,10,34.8,45.1,895,948,43.76,6e-04,405023,530533,27.263,0.240761330917008,0.29463409120838,0.194390330320012,30.292046875,7.2931535218254,64
"24005",178.995,197,90,0.25,0.353,20.28,77.5,0.999,0.0265,35.43,0.41,9.9,33.3,43,743,752,39.28,0.0314,416161,544505,38.4,0.232712281377111,0.209522920437528,0.14593553571517,42.0684347826087,9.78984143222506,69
"24006",36.5975,451,116,0.19,0.297,7.19,119.4,0.994,0.0177,14.56,0.59,10.2,39.8,50.8,1126,1217,52.02,1e-04,391863,542749,24.62,0.152220689072925,0.117475926268719,0.117016101834752,24.93625,3.79581315789473,20
"24007",44.67,252,74,0.37,0.353,8.72,75.4,1,0.0148,15.29,0.59,10.1,34.8,44.8,797,797,40.49,9e-04,411174,544147,10.981,0.221855759143103,0.211544747971196,0.0539190193164998,11.5562,2.56380952380952,15
"24008",454.6325,365,91,0.2,0.338,27.21,114.6,0.97,0.0239,50.14,0.59,10.2,38.2,50.2,1035,1071,46.36,0.0035,398806,536856,223.3,0.180879950333993,-0.00182691558070192,0.0367558248966621,221.227428571429,40.015606292517,49
"24009",1005.0025,249,90,0.17,0.362,61.23,87.7,0.984,0.0414,103.28,0.4,9.9,34.6,45,855,885,41.84,0.0313,411148,537834,252.711,0.143045672496017,0.0752958567419751,0.0288741392861588,260.030543478261,37.1962439613526,46
"25003",11.395,657,47,0.55,0.255,3.29,92,1,0.0409,5.91,0.64,11.7,53,75.7,1905,2027,59.86,0,373788,531868,15.182,0.169863736054884,0.299113171626873,0.228217977660764,17.31822,2.94173755102041,50
