"","AREA","ALTBAR","ASPBAR","ASPVAR","BFIHOST19","DPLBAR","DPSBAR","FARL","FPEXT","LDP","PROPWET","RMED-1H","RMED-1D","RMED-2D","SAAR","SAAR4170","SPRHOST","URBEXT2000","Easting","Northing","QMED","Lcv","LSkew","LKurt","L1","L2","N"
"2001",553.24,213,201,0.04,0.312,30.33,97,0.858,0.0555,56.78,0.65,8.3,33,43.7,1117,1102,52.88,0,284344,929781,170.217,0.113197651456412,0.0914453103240496,0.125497564391075,175.069416666667,19.8174468085107,48
"2002",423.48,259,178,0.15,0.315,28.71,97.3,0.845,0.0553,52.37,0.59,8.8,36.4,48.9,1217,1190,54.16,2e-04,274454,916267,153.435,0.181562116530404,0.242337152717157,0.189417818627177,169.0975,30.7017,30
"3002",237.1375,439,44,0.06,0.331,15.94,218.2,0.974,0.0377,31.93,0.81,9.2,43.7,65.4,1784,2024,49.93,0,240494,888016,177.884,0.144041218346145,0.167244366305369,0.172894107430083,187.976693877551,27.0763920068027,49
"3003",331.6675,297,61,0.07,0.309,16.79,148.2,0.915,0.0488,31.2,0.81,9.4,45.4,65.2,1896,1962,53.57,0,231272,901365,347.466,0.165671583872146,0.195415504366941,0.156443353544792,365.613622222222,60.5717878787879,45
"4005",123.665,463,123,0.03,0.299,12.97,289,0.918,0.0366,28.09,0.76,9.7,47.4,73.3,2145,2074,52.86,0,220288,850359,101.5035,0.146977252350373,0.142899586852024,0.116918549709568,102.023921052632,14.9951955903272,38
"4006",117.535,351,56,0.05,0.314,13.08,164.6,0.814,0.0479,23.51,0.83,9.6,51,75.5,2203,2016,52.93,0,212722,856679,84.153,0.126587307832209,0.00749882457216607,0.106165277782564,84.7251212121212,10.725125,33
"6012",56.2025,352,344,0.22,0.359,8.19,106.9,0.915,0.0508,18.24,0.7,9.2,35.3,51.1,1331,1412,46.36,0,235816,827204,32.997,0.148706405580679,0.0336414765367033,0.0445872363974955,33.7085625,5.01267916666666,16
"7001",415.59,560,24,0.11,0.368,25.6,138.9,0.982,0.0392,50.96,0.68,10.3,39.4,56.9,1217,1429,55.84,2e-04,273216,821453,272.93,0.159907604314784,0.240774862322999,0.287640265033917,289.010111111111,46.2149144905274,63
"7002",781.775,442,11,0.16,0.377,54.64,117.2,0.973,0.0483,100.09,0.56,10,39.1,54.2,1065,1206,51.62,1e-04,284035,830207,348.369,0.220703301082205,0.226336672428351,0.196771522537665,363.138953846154,80.1459658653846,65
"7003",216.66,192,3,0.34,0.589,18.73,79.1,0.979,0.0741,39.56,0.42,9.1,37.5,48.1,833,890,34.65,7e-04,314503,853472,42.536,0.289931285508781,0.235303395966103,0.149794888494786,46.5432,13.4943298076923,65
"7004",304.96,290,347,0.31,0.563,30.39,102.7,0.923,0.0682,58.04,0.5,9.5,35.7,48.3,942,1067,41.25,9e-04,273723,837368,95.831,0.269449955781402,0.277753116134492,0.191503280941783,109.248333333333,29.4369585858586,45
"7005",164.625,316,336,0.22,0.324,13.99,77.4,0.925,0.0566,28.11,0.48,9.5,38.1,50.4,871,923,50.31,0,301694,839868,63.692,0.245934110850631,0.169697395714589,0.10503528143211,68.8014390243902,16.9206207317073,41
"7009",28.295,192,332,0.54,0.606,8.03,61.3,0.998,0.0601,13.4,0.42,9.2,37.7,48.8,803,850,33.74,0,303990,850878,7.053,0.365212972322403,0.328782532597699,0.170455988892126,9.61596,3.51187333333333,25
"7010",80.675,185,11,0.42,0.603,18,62.6,0.984,0.0651,29.63,0.42,9.4,37.5,49.6,810,869,34.12,0,291350,847700,17.4525,0.212366344075838,0.17239576013641,0.192061750649686,18.9428333333333,4.02282026143791,18
"7011",36.375,168,8,0.33,0.663,7.94,111.5,0.98,0.0413,14.81,0.42,9,35.9,46.8,808,873,27.08,6e-04,309709,854047,4.298,0.495074193254211,0.580548786799083,0.332287757819447,6.97809090909091,3.45467272727273,11
"7012",31.5975,322,2,0.41,0.378,6.56,77.6,0.964,0.0328,13.37,0.42,9.6,41.5,53.5,941,965,50.67,0,312408,846230,7.262,0.48802798061186,0.670247548412729,0.409966429233638,14.1208888888889,6.89138888888889,9
"8004",540.6925,525,10,0.1,0.404,28.8,178.2,0.989,0.0257,64.94,0.63,9.3,39.9,55.5,1108,1234,43.44,2e-04,316610,817591,211.427,0.204136952437769,0.229059740880663,0.139610104132958,226.455154929577,46.2278651911469,71
"8005",1261.3,522,348,0.04,0.412,47.44,174.2,0.917,0.0589,88.23,0.7,9.5,36.4,52.5,1277,1307,47.64,0.0011,275073,796806,170.15,0.225520744729556,0.208352975516352,0.0523430708007578,194.408180555556,43.8430776604069,72
"8006",2852.39,460,17,0.06,0.438,87.36,156.9,0.959,0.0525,162.27,0.63,9.2,36.8,51.6,1119,1183,43.98,0.0013,294880,812741,500.733,0.176182341818101,0.165876449475421,0.123876050195888,523.830563380282,92.2896953722334,71
"8009",272.2025,461,94,0.19,0.401,21.22,117.9,0.994,0.0505,44.15,0.68,9.1,33.1,46.8,1012,1056,46.63,6e-04,285087,819396,88.368,0.132563664440034,-0.0014519396835232,0.0728479252448062,88.4674929577465,11.7275750503018,71
"8010",1745.8425,495,13,0.05,0.422,51.13,158.7,0.938,0.0612,102.29,0.69,9.3,35.6,51.1,1194,1235,46.42,0.0012,279940,802927,240.878,0.172642834115842,0.0924371074819652,0.0875416233971345,248.85476056338,42.9629911468813,71
"8011",102.7775,445,333,0.17,0.378,11.38,168.4,1,0.0241,22.22,0.63,9,37,50.4,1001,1141,41.99,1e-04,324551,823501,33.962,0.229204922420975,0.125319681890503,0.0302154255074645,38.7357674418605,8.87842857142857,43
"8013",229.6275,618,324,0.11,0.385,18.61,180.8,0.993,0.0408,39.7,0.7,9.4,35.4,52.1,1286,1351,49.14,0,286401,794014,116.085,0.16231672516727,0.297765551314177,0.213107418127074,123.185935483871,19.9951376344086,31
"9001",444.9125,329,55,0.12,0.463,29.26,124.5,0.998,0.0343,54.31,0.53,8.6,36.2,51.8,988,1078,37.32,0.0021,344246,831611,128.5155,0.244799875990881,0.195455037389271,0.0859814943819765,133.765125,32.7456860119048,64
"9003",179.98,208,98,0.1,0.467,14.7,84.6,0.994,0.0401,27.65,0.42,8.5,36.3,48.9,900,957,36.31,0.0055,341980,850068,55.388,0.229908936784134,0.144721209501703,0.0981648251762692,58.8383125,13.5274538690476,64
"9004",182.425,297,71,0.12,0.505,14.51,132,0.998,0.0313,30.03,0.53,8.4,35.4,51.6,955,1045,32.61,0.0014,348531,829935,28.472,0.223360717340597,0.190775901811864,0.117597860798845,30.7225581395349,6.86221262458472,43
"9005",68.075,439,1,0.15,0.358,7.87,118.3,1,0.0252,16.74,0.59,9,37.7,53.9,1071,1172,46.17,0,338071,824955,39.746,0.161322012170225,-0.0183497176538026,0.0379634689085329,38.6816764705882,6.24020588235294,34
"9006",47.1275,141,27,0.27,0.512,7.98,77.6,0.996,0.0309,15.12,0.43,8,32.5,44.3,823,827,33,3e-04,350148,861899,17.671,0.297933114035088,0.176654014149184,0.0269132262581232,21.0461538461538,6.27034615384616,13
"9010",225.485,384,45,0.15,0.406,26.63,127.1,0.997,0.0298,45.42,0.55,8.8,37.6,52.9,1036,1132,42.57,1e-04,339250,831368,110.4285,0.224806389171362,0.0389987932710839,-0.167135356000905,117.594571428571,26.436010989011,14
"10001",457.115,111,115,0.14,0.576,24.38,57.2,0.992,0.0432,52.19,0.42,8.3,33.7,44.3,830,861,28.31,0.0013,381355,839183,50.18,0.179207543823528,0.115541005011687,0.256504640599447,52.0537173913043,9.32841884057972,46
"10002",325.7225,87,87,0.17,0.539,23.62,42.3,0.984,0.0751,41.29,0.4,8.2,34,44.6,812,876,33,0.0036,396185,850658,47.547,0.338956255809206,0.348432680637738,0.184643824091097,63.8861730769231,21.6546180241327,52
